Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,143227999,2,0.012316463,0,0,0,0,0,0,0,0,1,0,0,0
0x00,143228139,142,20.01571815,0.5,-0.000516,-0.000258,-0.001171,1.72E-06,4.97E-06,-4.11E-06,0,1,0,0,0
0x00,143228278,281,40.00328439,2.375,-0.000501,-0.000326,-0.001755,1.33E-06,-2.51E-06,-4.11E-06,0,1,0,0,0
0x00,143228418,421,60.00199409,4.85,6.80E-05,-0.000534,-0.002402,9.89E-06,2.77E-06,-1.64E-06,0,1,0,0,0
0x00,143228558,561,80.01390001,7.35,-0.00048,-0.000883,-6.30E-05,1.05E-06,2.71E-06,-4.80E-08,0,1,0,0,0
0x00,143228697,700,100.0061582,9.625,3.30E-05,-0.0005,-0.000646,6.73E-06,8.67E-06,-1.90E-06,0,1,0,0,0
0x00,143228837,840,120.0048679,12.05,-0.000499,-0.000243,-0.000617,4.97E-06,6.56E-06,-4.19E-06,0,1,0,0,0
0x00,143228977,980,140.0091494,14.675,-0.001013,-0.00016,-0.001144,-4.27E-06,-1.40E-05,-1.85E-07,0,1,0,0,0
0x00,143229117,1120,160.0060996,17.075,-0.000883,-0.000734,-0.00074,1.47E-05,-1.39E-05,-2.39E-06,0,1,0,0,0
0x00,143229257,1260,180.00217,19.45,-0.000321,-0.001593,-0.000828,1.92E-05,-1.22E-05,-2.25E-06,0,1,0,0,0
0x00,143229396,1399,200.0085042,22.1,2.80E-05,-0.000685,-0.001198,-8.61E-07,-9.46E-06,-2.08E-06,0,1,0,0,0
0x00,143229536,1539,220.0013489,24.575,0.000547,-0.000117,-0.001229,1.24E-05,1.46E-05,-3.75E-06,0,1,0,0,0
0x00,143229676,1679,240.0062169,27,0.000438,-0.00012,-0.000537,-3.73E-06,1.79E-05,-3.87E-06,0,1,0,0,0
0x00,143229816,1819,260.0140173,29.5,6.50E-05,-0.000553,-0.000676,9.59E-06,2.78E-06,-1.97E-06,0,1,0,0,0
0x00,143229955,1958,280.0089148,32.125,-0.000278,-0.001504,0.000265,2.93E-05,-3.66E-06,-2.31E-06,0,1,0,0,0
0x00,143230095,2098,300.0120232,34.5,-0.001929,-0.000394,-0.001237,3.70E-06,-3.65E-05,-6.73E-07,0,1,0,0,0
0x00,143230235,2238,320.0121992,36.925,-0.00134,-0.001179,-0.000787,1.51E-05,-2.79E-05,-5.22E-07,0,1,0,0,0
0x00,143230375,2378,340.0135481,39.675,-0.000333,-0.000427,-0.000186,1.98E-05,-1.57E-05,1.91E-06,0,1,0,0,0
0x00,143230515,2518,360.0131376,41.975,6.50E-05,-0.000553,-0.000676,9.59E-06,2.78E-06,-1.97E-06,0,1,0,0,0
0x00,143230654,2657,380.0124338,44.475,0.001153,-0.000887,-0.000224,2.70E-05,2.49E-05,-3.67E-06,0,1,0,0,0
