Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,90335987,5,0.283864475,0,0.000624,-0.000736,-0.000167,1.82E-05,1.18E-05,3.31E-07,0,1,0,0,0
0x00,90336125,143,20.02329565,0.7,3.80E-05,6.70E-05,-0.002343,7.11E-06,3.16E-06,5.12E-07,0,1,0,0,0
0x00,90336265,283,40.01609347,2.575,-0.000422,-0.000233,-0.003548,1.18E-05,1.95E-06,2.80E-06,0,1,0,0,0
0x00,90336404,422,60.01270352,4.975,-0.000414,-0.000193,-0.001839,1.51E-05,7.29E-06,2.56E-06,0,1,0,0,0
0x00,90336544,562,80.00960682,7.525,-0.000494,0.000873,-0.002284,5.44E-06,-4.45E-06,3.01E-07,0,1,0,0,0
0x00,90336683,701,100.6642663,9.95,7.40E-05,0.0002,-0.001821,1.76E-05,1.54E-05,6.19E-07,0,1,0,0,0
0x00,90336824,842,120.0101581,12.25,-0.000507,-0.000263,-0.001731,-1.42E-06,3.09E-06,2.44E-06,0,1,0,0,0
0x00,90336964,982,140.0390255,14.7,-0.000534,-0.000337,-0.002269,-8.27E-06,-3.83E-06,2.42E-06,0,1,0,0,0
0x00,90337103,1121,160.0148149,17.3,0.000545,-0.000181,-0.001772,5.66E-06,7.42E-06,2.71E-06,0,1,0,0,0
0x00,90337243,1261,180.0049735,19.625,0.000587,-0.000175,-0.001818,1.21E-05,6.86E-06,2.73E-06,0,1,0,0,0
0x00,90337383,1401,200.0012903,22.15,0.000198,-0.001025,-0.000859,3.25E-05,1.19E-05,-3.92E-06,0,1,0,0,0
0x00,90337523,1541,220.0043518,24.8,-0.000349,-0.000443,-0.00074,1.65E-05,-1.73E-05,1.98E-06,0,1,0,0,0
0x00,90337662,1680,240.0044808,27.25,-0.001328,-0.000572,-0.000774,1.88E-05,-2.81E-05,1.65E-06,0,1,0,0,0
0x00,90337802,1820,260.0051964,29.6,-0.000677,-0.001233,-0.000403,4.38E-05,-9.33E-06,1.99E-06,0,1,0,0,0
0x00,90337942,1960,280.0205743,32.25,-0.001188,-0.001598,-0.001546,3.84E-05,-1.53E-05,4.18E-06,0,1,0,0,0
0x00,90338082,2100,300.0265683,34.7,-0.000818,-0.001267,-0.00082,2.12E-05,-9.24E-06,2.03E-06,0,1,0,0,0
0x00,90338222,2240,320.0129147,37.15,-0.00051,0.000184,-0.001115,-5.29E-06,-1.15E-05,4.26E-06,0,1,0,0,0
0x00,90338362,2380,340.0171492,39.65,0.000155,-0.001094,-0.001356,1.93E-05,5.28E-06,2.53E-06,0,1,0,0,0
0x00,90338501,2519,360.0240229,42.3,0.000689,-0.001288,-0.000843,2.78E-05,1.46E-05,-1.64E-06,0,1,0,0,0
0x00,90338641,2659,380.005384,44.675,-0.000402,-0.000279,-0.000697,1.44E-05,-1.75E-07,2.23E-06,0,1,0,0,0
0x00,90338781,2799,400.0052198,47.1,-0.000443,-0.000285,-0.000651,7.94E-06,3.87E-07,2.21E-06,0,1,0,0,0
0x00,90338921,2939,420.0012434,49.85,-0.00038,-0.00039,-0.000711,1.37E-05,-1.14E-05,2.06E-06,0,1,0,0,0
0x00,90339061,3079,440.0043049,52.1,-0.000287,-0.00032,-0.000819,3.02E-05,-7.19E-06,2.18E-06,0,1,0,0,0
0x00,90339201,3219,460.0393305,54.65,0.000286,-0.00112,-0.000923,3.83E-05,-1.45E-07,2.41E-06,0,1,0,0,0
0x00,90339340,3358,480.0142401,57.25,-0.000345,-0.000341,-0.001327,2.05E-05,-8.22E-06,2.24E-06,0,1,0,0,0
0x00,90339480,3498,500.0038122,59.775,-0.000462,0.000147,-0.00059,8.24E-07,-1.58E-05,4.11E-06,0,1,0,0,0
0x00,90339620,3638,520.0054075,62.2,-0.000442,0.000264,-0.000622,8.02E-06,-5.11E-06,4.29E-06,0,1,0,0,0
0x00,90339760,3778,540.0222517,64.65,7.50E-05,-2.90E-05,-0.001802,9.63E-06,-6.47E-06,2.70E-07,0,1,0,0,0
0x00,90339899,3917,560.0159293,67.225,0.000666,-0.00073,-0.000213,2.47E-05,1.12E-05,3.46E-07,0,1,0,0,0
0x00,90340039,4057,580.0096068,69.625,-0.000268,-0.000751,-0.00088,3.73E-05,8.96E-06,2.83E-07,0,1,0,0,0
0x00,90340179,4197,600.0012316,72.125,-0.000739,-0.000579,-0.000315,3.82E-05,-3.05E-06,4.22E-06,0,1,0,0,0
0x00,90340319,4337,620.0154366,74.775,-0.001333,2.00E-05,-0.001316,1.92E-05,-2.98E-05,3.89E-06,0,1,0,0,0
0x00,90340459,4477,640.0032492,77.225,-0.000911,0.000416,-0.000652,1.20E-05,-1.90E-05,1.85E-06,0,1,0,0,0
0x00,90340598,4616,660.003085,79.6,-0.000861,-6.80E-05,-0.000743,2.20E-05,-8.73E-06,-1.25E-07,0,1,0,0,0
0x00,90340738,4756,680.0096655,82.2,-0.000766,-0.000737,-0.001992,2.77E-05,-1.90E-05,4.28E-06,0,1,0,0,0
0x00,90340878,4896,700.0159527,84.675,0.000298,-0.000513,-0.000911,4.20E-05,-3.17E-07,4.57E-06,0,1,0,0,0
0x00,90341018,5036,720.0166682,87.175,-0.000439,0.000793,-0.001189,1.12E-05,-1.25E-05,-1.70E-08,0,1,0,0,0
0x00,90341158,5176,740.0065336,89.675,0.000151,0.000557,-0.00071,2.27E-05,-9.34E-06,2.21E-06,0,1,0,0,0
0x00,90341297,5315,760.0078356,92.325,0.000659,0.000309,-0.000139,2.12E-05,-5.08E-06,4.41E-06,0,1,0,0,0
0x00,90341437,5455,780.0132431,94.675,0.000699,-0.000234,-0.000214,2.76E-05,-1.42E-07,2.35E-06,0,1,0,0,0
0x00,90341577,5595,800.0195303,97.075,-0.000277,-0.000261,-0.000835,3.38E-05,-1.86E-06,2.27E-06,0,1,0,0,0
0x00,90341717,5735,820.0047037,99.85,-0.000233,6.50E-05,-0.000833,3.24E-05,-2.98E-05,4.01E-06,0,1,0,0,0
0x00,90341857,5875,840.0150964,102.15,-0.001055,-0.001074,-0.001084,5.75E-05,-2.62E-05,6.13E-06,0,1,0,0,0
0x00,90341996,6014,860.0058415,104.675,-7.80E-05,-0.001494,-0.001079,5.52E-05,-9.94E-06,4.39E-06,0,1,0,0,0
0x00,90342136,6154,880.0130085,107.275,-0.000215,-0.00045,-0.002033,3.59E-05,-2.27E-05,2.19E-06,0,1,0,0,0
0x00,90342276,6294,900.0075658,109.775,-0.00087,0.000422,-0.000698,1.84E-05,-1.96E-05,1.86E-06,0,1,0,0,0
0x00,90342416,6434,920.0030029,112.2,-0.000312,0.000155,-0.001328,2.34E-05,-1.96E-05,4.24E-06,0,1,0,0,0
0x00,90342556,6574,940.0051846,114.65,-0.000247,-0.000863,-0.000894,3.66E-05,-2.25E-06,1.16E-07,0,1,0,0,0
0x00,90342696,6714,960.0079529,117.275,-0.000175,-0.001458,-0.000998,4.58E-05,-3.20E-06,-2.02E-06,0,1,0,0,0
0x00,90342835,6853,980.0054427,119.625,-0.001226,-0.000991,-0.000928,3.88E-05,-1.30E-05,-2.19E-07,0,1,0,0,0
0x00,90342975,6993,1000.010264,122.15,-0.00024,-0.00044,-0.001433,3.27E-05,-2.06E-05,2.10E-06,0,1,0,0,0
0x00,90343115,7133,1020.015085,124.775,-0.001225,-0.000443,-0.000899,3.89E-05,-1.85E-05,1.86E-06,0,1,0,0,0
0x00,90343255,7273,1040.011988,127.25,-0.001301,-3.30E-05,-0.001346,2.21E-05,-3.57E-05,3.81E-06,0,1,0,0,0
0x00,90343395,7413,1060.020621,129.625,-0.000823,0.000301,-0.001312,2.09E-05,-3.29E-05,1.78E-06,0,1,0,0,0
0x00,90343535,7553,1080.016058,132.25,-0.001251,-0.000517,-0.001437,3.20E-05,-2.54E-05,1.84E-06,0,1,0,0,0
0x00,90343674,7692,1100.016187,134.7,-0.000255,-0.000372,-0.000849,3.30E-05,-1.31E-05,2.10E-06,0,1,0,0,0
0x00,90343814,7832,1120.008399,137.175,-0.000385,0.000202,-0.001252,1.41E-05,-1.32E-05,4.30E-06,0,1,0,0,0
0x00,90343954,7972,1140.016445,139.65,-0.000878,-8.40E-05,-0.001298,1.87E-05,-1.03E-05,-5.00E-08,0,1,0,0,0
0x00,90344094,8112,1160.006604,142.3,-0.000174,-0.000909,-0.000969,4.59E-05,-8.70E-06,5.40E-08,0,1,0,0,0
0x00,90344234,8252,1180.014064,144.625,-0.001105,-0.001075,-0.000479,5.42E-05,-2.38E-05,-4.32E-07,0,1,0,0,0
0x00,90344373,8391,1200.008328,147.075,-0.001575,-0.001434,-0.001668,5.53E-05,-3.03E-05,1.76E-06,0,1,0,0,0
0x00,90344513,8531,1220.006405,149.825,-0.00217,-0.000141,-0.003798,4.07E-05,-4.98E-05,3.93E-06,0,1,0,0,0
0x00,90344653,8671,1240.002135,152.1,-0.001675,-0.000405,-0.006103,3.94E-05,-4.90E-05,1.54E-07,0,1,0,0,0
0x00,90344793,8811,1260.009302,154.65,-0.000994,-0.001505,-0.008674,7.19E-05,-1.79E-05,-8.97E-07,0,1,0,0,0
0x00,90344933,8951,1280.010017,157.225,-0.000414,-0.001719,-0.012201,8.07E-05,-1.64E-05,2.07E-06,0,1,0,0,0
0x00,90345072,9090,1300.002815,159.75,-0.000597,-0.000619,-0.015406,5.55E-05,-2.49E-05,3.56E-07,0,1,0,0,0
0x00,90345212,9230,1320.008809,162.15,-0.001181,0.000202,-0.019307,4.47E-05,-3.35E-05,8.69E-07,0,1,0,0,0
0x00,90345354,9372,1341.490722,164.8,-0.000629,-0.000635,-0.023402,4.66E-05,-3.34E-05,1.74E-06,0,1,0,0,0
0x00,90345492,9510,1360.021677,167.25,-0.000148,-0.000283,-0.025093,4.58E-05,-3.07E-05,4.40E-08,0,1,0,0,0
0x00,90345632,9650,1380.001572,169.65,-0.000159,-0.000262,-0.029099,4.32E-05,-3.23E-05,7.83E-07,0,1,0,0,0
0x00,90345771,9789,1400.012258,172.125,-0.000762,0.000526,-0.03183,2.88E-05,-4.25E-05,1.04E-06,0,1,0,0,0
0x00,90345911,9929,1420.011507,174.8,-0.001253,-3.30E-05,-0.034125,1.91E-05,-6.88E-05,3.13E-06,0,1,0,0,0
0x00,90346051,10069,1440.014275,177.25,-0.00125,-1.40E-05,-0.035851,1.94E-05,-6.88E-05,3.46E-06,0,1,0,0,0
0x00,90346191,10209,1460.00502,179.6,-0.00083,0.000298,-0.036325,8.56E-06,-6.71E-05,1.49E-06,0,1,0,0,0
0x00,90346331,10349,1480.022451,182.275,-0.000945,0.00019,-0.040207,-1.42E-05,-7.82E-05,2.02E-06,0,1,0,0,0
0x00,90346471,10489,1500.016129,184.725,-0.000938,0.00031,-0.04252,-9.94E-06,-6.92E-05,2.61E-06,0,1,0,0,0
0x00,90346610,10628,1520.006287,187.175,-0.000953,0.00023,-0.045939,-1.65E-05,-7.98E-05,3.09E-06,0,1,0,0,0
0x00,90346750,10768,1540.003191,189.65,-0.001528,0.000561,-0.049885,-2.38E-05,-7.77E-05,1.61E-06,0,1,0,0,0
0x00,90346890,10908,1560.017982,192.3,-0.001541,3.40E-05,-0.05392,-2.65E-05,-7.38E-05,2.74E-07,0,1,0,0,0
0x00,90347030,11048,1580.006674,194.65,-0.002062,0.000285,-0.056771,-2.80E-05,-7.97E-05,-1.52E-06,0,1,0,0,0
0x00,90347169,11187,1600.001525,197.075,-0.002643,0.000451,-0.060674,-4.59E-05,-9.38E-05,3.21E-06,0,1,0,0,0
0x00,90347309,11327,1620.002534,199.85,-0.003202,0.001263,-0.065176,-5.35E-05,-0.000104606,3.81E-06,1,1,0,0,0
0x00,90347449,11467,1640.007355,202.15,-0.002182,0.000701,-0.06922,-5.63E-05,-0.000107055,2.56E-06,1,1,0,0,0
0x00,90347589,11607,1660.006311,204.65,-0.00216,0.000451,-0.073891,-4.43E-05,-7.81E-05,1.75E-06,1,1,0,0,0
0x00,90347729,11747,1680.014944,207.225,-0.001767,0.00077,-0.078926,-6.10E-05,-7.96E-05,5.99E-07,1,1,0,0,0
0x00,90347869,11887,1700.008035,209.775,-0.001872,0.000721,-0.082824,-8.02E-05,-8.54E-05,1.22E-06,1,1,0,0,0
0x00,90348008,12026,1720.003472,212.2,-0.002401,0.000931,-0.087385,-8.50E-05,-9.66E-05,-3.34E-07,1,1,0,0,0
0x00,90348148,12166,1740.020316,214.625,-0.002312,0.00098,-0.090928,-7.14E-05,-9.78E-05,3.58E-07,1,1,0,0,0
0x00,90348288,12306,1760.018393,217.275,-0.002318,0.00041,-0.094392,-7.45E-05,-9.77E-05,-1.15E-06,1,1,0,0,0
0x00,90348428,12446,1780.01119,219.65,-0.002453,0.000962,-0.098231,-9.64E-05,-0.000103092,1.63E-06,1,1,0,0,0
0x00,90348568,12586,1800.016598,222.15,-0.002065,0.001407,-0.102699,-0.000109186,-9.17E-05,5.62E-07,1,1,0,0,0
0x00,90348707,12725,1820.009396,224.775,-0.002105,0.001499,-0.108401,-0.000114379,-8.75E-05,1.71E-06,1,1,0,0,0
0x00,90348847,12865,1840.009525,227.225,-0.002113,0.001074,-0.113023,-0.000113151,-7.46E-05,6.27E-07,1,1,0,0,0
0x00,90348987,13005,1860.009067,229.6,-0.002099,0.001086,-0.117629,-0.000112579,-7.83E-05,1.46E-06,1,1,0,0,0
