Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,79169028,3,0.020527432,0,1.00E-05,5.80E-05,-1.70E-05,3.60E-06,5.33E-06,9.00E-08,0,1,0,0,0
0x00,79169167,142,20.00544857,0.5,-2.40E-05,-5.60E-05,-0.002264,-6.54E-06,-6.93E-06,3.16E-07,0,1,0,0,0
0x00,79169307,282,40.01060388,2.35,-0.000672,0.000707,-0.003223,-2.76E-05,-1.66E-05,2.25E-07,0,1,0,0,0
0x00,79169447,422,60.01165372,4.825,-0.000575,0.000122,-0.003333,-1.83E-05,-1.78E-05,4.56E-06,0,1,0,0,0
0x00,79169587,562,80.01211705,7.325,-0.001107,0.000463,-0.002164,-1.64E-05,-1.09E-05,2.20E-06,0,1,0,0,0
0x00,79169726,701,100.0040762,9.75,-0.000662,0.001296,-0.001485,-2.43E-05,-1.68E-05,2.06E-06,0,1,0,0,0
0x00,79169866,841,120.0019003,12.125,0.000264,0.000812,-0.001417,-3.66E-05,-5.25E-06,2.14E-07,0,1,0,0,0
0x00,79170006,981,140.0123341,14.5,0.000367,0.000941,-0.001542,-1.65E-05,4.28E-06,4.25E-07,0,1,0,0,0
0x00,79170146,1121,160.0078122,17.15,-5.70E-05,0.000527,-0.00048,-9.63E-06,-6.53E-06,2.14E-06,0,1,0,0,0
0x00,79170286,1261,180.0094485,19.475,-0.000585,0.000658,-0.001018,-1.54E-05,-2.14E-05,-2.43E-07,0,1,0,0,0
0x00,79170426,1401,200.0157768,22.025,-0.001011,0.000389,-0.001115,-4.18E-06,-1.95E-05,1.89E-06,0,1,0,0,0
0x00,79170565,1540,220.0106684,24.65,-0.001382,-0.000491,-0.00187,1.30E-05,-2.00E-05,1.97E-06,0,1,0,0,0
0x00,79170705,1680,240.004387,27.1,-0.000818,-0.000801,-0.001929,1.76E-05,-2.38E-05,4.18E-06,0,1,0,0,0
0x00,79170845,1820,260.0092491,29.475,-0.001434,-0.000556,-0.001808,2.94E-06,-2.48E-05,1.86E-06,0,1,0,0,0
0x00,79170991,1966,282.987363,32.45,-0.001602,0.00109,-0.002703,-1.92E-05,-3.72E-05,1.82E-06,0,1,0,0,0
0x00,79171124,2099,300.0040175,34.6,-0.000631,0.001244,-0.001514,-2.14E-05,-2.26E-05,1.99E-06,0,1,0,0,0
0x00,79171264,2239,320.0132783,37,-0.000629,0.000797,-0.00213,-1.75E-05,-8.09E-06,1.66E-07,0,1,0,0,0
0x00,79171403,2378,341.3717779,39.65,-4.80E-05,0.000502,-0.001635,-9.67E-06,-1.03E-05,2.30E-06,0,1,0,0,0
0x00,79171544,2519,360.0080468,42.15,-0.000478,0.000131,-0.001144,-2.43E-06,-1.74E-05,4.18E-06,0,1,0,0,0
0x00,79171684,2659,380.0146683,44.525,-0.001478,-0.000115,-0.001146,-7.39E-06,-3.88E-05,3.67E-06,0,1,0,0,0
0x00,79171824,2799,400.0075072,46.95,-0.001421,-0.000177,-0.001776,-1.32E-06,-4.68E-05,3.68E-06,0,1,0,0,0
0x00,79171963,2938,420.0100233,49.7,-0.001341,-0.000485,-0.001916,1.95E-05,-2.06E-05,1.98E-06,0,1,0,0,0
0x00,79172103,3078,440.0110731,52,-0.000839,-0.00069,-0.001916,1.84E-05,-1.26E-05,4.35E-06,0,1,0,0,0
0x00,79172248,3223,462.3478514,54.8,-0.00042,-0.000843,-0.001281,1.11E-05,3.73E-06,2.23E-07,0,1,0,0,0
0x00,79172383,3358,480.0037888,57.05,-0.000591,0.000701,-0.001589,-1.50E-05,-1.77E-05,-7.70E-08,0,1,0,0,0
0x00,79172523,3498,500.0192078,59.625,-0.000612,0.000812,-0.001576,-1.43E-05,-6.50E-06,9.00E-08,0,1,0,0,0
0x00,79172662,3637,520.0129264,62.05,-0.000534,0.000173,-0.00111,-5.40E-06,-1.12E-05,-2.22E-06,0,1,0,0,0
0x00,79172802,3777,540.006645,64.45,-0.000929,-0.000148,-0.001236,8.66E-06,-1.51E-05,-1.55E-07,0,1,0,0,0
0x00,79172942,3917,560.0047624,67.1,-0.000391,-0.000449,-0.000694,1.01E-05,-1.67E-05,1.97E-06,0,1,0,0,0
0x00,79173082,4057,580.0022932,69.475,-0.002007,0.000244,-0.001703,-5.20E-06,-3.18E-05,1.63E-06,0,1,0,0,0
0x00,79173222,4197,600.00217,72,-0.000856,-0.000195,-0.001311,1.80E-05,-2.15E-05,-2.17E-07,0,1,0,0,0
0x00,79173361,4336,620.0128971,74.625,-0.000888,-0.000142,-0.001282,1.51E-05,-1.57E-05,-1.41E-07,0,1,0,0,0
0x00,79173501,4476,640.0139469,77.1,-0.000375,-0.000517,-0.001279,9.67E-06,-2.42E-05,1.97E-06,0,1,0,0,0
0x00,79173641,4616,660.0103048,79.475,-0.00099,0.000277,-0.001128,-4.92E-06,-3.07E-05,1.73E-06,0,1,0,0,0
0x00,79173781,4756,680.0028504,82,-0.001046,0.000805,-0.001608,-1.45E-05,-3.72E-05,3.86E-06,0,1,0,0,0
0x00,79173921,4896,700.0103517,84.575,-0.000543,0.000664,-0.001064,-8.91E-06,-2.20E-05,-2.29E-07,0,1,0,0,0
0x00,79174060,5035,720.014334,87,1.00E-05,0.000523,-0.001127,4.00E-08,-9.25E-06,2.24E-06,0,1,0,0,0
0x00,79174200,5175,740.0130379,89.475,-0.000451,0.000185,-0.001202,7.52E-06,-1.23E-05,-2.19E-06,0,1,0,0,0
0x00,79174340,5315,760.0099822,92.175,-0.000433,0.000749,-0.000618,1.09E-05,-1.62E-05,-1.83E-07,0,1,0,0,0
0x00,79174480,5455,780.009859,94.55,-0.00085,-0.000238,-0.00074,1.76E-05,-2.53E-05,-3.83E-07,0,1,0,0,0
0x00,79174620,5595,800.0088561,96.975,-0.0014,0.000489,-0.00178,5.96E-06,-4.17E-05,5.94E-06,0,1,0,0,0
0x00,79174759,5734,820.0031612,99.675,-0.001401,-6.00E-05,-0.001809,5.88E-06,-3.62E-05,3.86E-06,0,1,0,0,0
0x00,79174899,5874,840.0053841,102,-0.001328,-0.000572,-0.000774,1.88E-05,-2.81E-05,1.65E-06,0,1,0,0,0
0x00,79175039,6014,860.0029149,104.5,-0.000907,0.000289,-0.00122,8.00E-06,-3.18E-05,1.76E-06,0,1,0,0,0
0x00,79175179,6154,880.010123,107.075,-0.00099,0.000277,-0.001128,-4.92E-06,-3.07E-05,1.73E-06,0,1,0,0,0
0x00,79175319,6294,900.0108795,109.625,8.80E-05,-0.000115,-0.00066,8.93E-06,-1.39E-05,-6.30E-08,0,1,0,0,0
0x00,79175459,6434,920.0189673,112.025,9.30E-05,0.000535,-0.001219,1.30E-05,-1.04E-05,2.27E-06,0,1,0,0,0
0x00,79175598,6573,940.0071142,114.425,7.30E-05,0.000418,-0.001186,5.76E-06,-2.10E-05,2.09E-06,0,1,0,0,0
0x00,79175738,6713,960.009337,117.125,-0.000515,0.001286,-0.000497,-1.98E-06,-2.06E-05,1.87E-06,0,1,0,0,0
0x00,79175878,6853,980.0112666,119.475,-0.000947,0.000832,-0.001145,1.62E-06,-3.67E-05,3.82E-06,0,1,0,0,0
0x00,79176018,6993,1000.007918,122,-0.000817,0.000258,-0.000741,2.06E-05,-3.67E-05,1.62E-06,0,1,0,0,0
0x00,79176158,7133,1020.002809,124.6,-0.001245,-9.50E-05,-0.001976,2.81E-05,-4.38E-05,3.83E-06,0,1,0,0,0
0x00,79176297,7272,1040.003566,127.075,-0.001756,-0.000459,-0.003119,2.28E-05,-4.97E-05,6.01E-06,0,1,0,0,0
0x00,79176437,7412,1060.004029,129.45,-0.001854,0.000271,-0.004167,1.77E-05,-3.57E-05,2.10E-06,0,1,0,0,0
0x00,79176577,7552,1080.003613,132.025,-0.001967,0.000921,-0.008635,6.06E-06,-3.23E-05,-1.33E-06,0,1,0,0,0
0x00,79176717,7692,1100.001437,134.6,-0.00209,0.000921,-0.010223,-1.30E-05,-3.07E-05,-1.04E-06,0,1,0,0,0
0x00,79176857,7832,1120.005419,137,-0.001549,0.000254,-0.01432,-6.78E-06,-1.40E-05,8.90E-08,0,1,0,0,0
0x00,79176996,7971,1140.00471,139.475,-0.001396,0.000281,-0.016784,1.61E-05,-1.79E-05,5.55E-07,0,1,0,0,0
0x00,79177136,8111,1160.012211,142.15,-0.002423,0.000654,-0.018452,8.69E-06,-3.90E-05,2.52E-06,0,1,0,0,0
0x00,79177276,8251,1180.010621,144.5,-0.002433,0.000447,-0.022439,-1.89E-06,-6.24E-05,2.91E-06,0,1,0,0,0
0x00,79177416,8391,1200.004927,146.95,-0.002453,0.000494,-0.02529,-4.48E-06,-6.03E-05,3.49E-06,0,1,0,0,0
