Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,82317175,6,0.016128696,0,0.000564,-0.00031,-6.00E-05,4.62E-06,-3.78E-06,2.21E-06,0,1,0,0,0
0x00,82317315,146,20.0116068,0.55,0.001045,4.20E-05,-0.001752,3.79E-06,-1.01E-06,5.14E-07,0,1,0,0,0
0x00,82317455,286,40.00679165,2.4,-2.00E-05,4.60E-05,-0.002852,-2.60E-06,2.12E-06,5.73E-07,0,1,0,0,0
0x00,82317595,426,60.01282671,4.875,0.001038,8.50E-05,-0.002322,4.14E-06,2.72E-06,6.80E-07,0,1,0,0,0
0x00,82317734,565,80.00126684,7.4,2.00E-06,1.80E-05,-0.001726,3.06E-07,-1.60E-08,3.31E-07,0,1,0,0,0
0x00,82317874,705,100.0058357,9.825,0.000484,-0.000221,-0.000555,-4.36E-06,6.40E-06,2.44E-06,0,1,0,0,0
0x00,82318014,845,120.0042462,12.2,0.000946,9.80E-05,-0.001075,-8.74E-06,7.59E-06,4.85E-07,0,1,0,0,0
0x00,82318154,985,140.0073488,14.575,0.00056,-0.000714,-0.001247,8.83E-06,1.45E-05,5.58E-07,0,1,0,0,0
0x00,82318294,1125,160.0163164,17.225,0.000634,-0.000677,-0.000184,2.18E-05,1.71E-05,4.22E-07,0,1,0,0,0
0x00,82318434,1265,180.0071025,19.55,0.000589,-0.00032,-0.00066,7.83E-06,-5.94E-06,2.30E-06,0,1,0,0,0
0x00,82318573,1404,200.0008211,22.075,-0.000391,-0.000449,-0.000694,1.01E-05,-1.67E-05,1.97E-06,0,1,0,0,0
0x00,82318713,1544,220.0097887,24.725,-0.000307,-0.000437,-0.000786,2.30E-05,-1.78E-05,2.00E-06,0,1,0,0,0
0x00,82318853,1684,240.0099587,27.175,-0.000785,-0.000771,-0.00082,2.41E-05,-2.06E-05,4.03E-06,0,1,0,0,0
0x00,82318993,1824,260.0022111,29.55,-0.000417,-0.000523,-0.001233,3.21E-06,-2.36E-05,1.95E-06,0,1,0,0,0
0x00,82319133,1964,280.0097124,32.125,8.00E-06,-2.50E-05,-0.001155,-4.20E-08,-3.75E-06,1.65E-07,0,1,0,0,0
0x00,82319272,2103,300.0048973,34.65,0.000542,-0.000199,-4.60E-05,5.35E-06,7.43E-06,2.38E-06,0,1,0,0,0
0x00,82319412,2243,320.0118121,37.075,0.000497,0.000367,-0.001138,2.43E-06,4.36E-06,-1.77E-06,0,1,0,0,0
0x00,82319552,2383,340.0064104,39.525,5.10E-05,6.40E-05,-6.30E-05,1.01E-05,4.76E-06,1.05E-07,0,1,0,0,0
0x00,82319692,2523,360.001302,42.225,-0.000339,-0.000384,-0.000757,2.01E-05,-1.20E-05,2.07E-06,0,1,0,0,0
0x00,82319832,2663,380.0137886,44.6,-0.000274,-0.000406,0.000323,2.95E-05,-1.47E-05,1.85E-06,0,1,0,0,0
0x00,82319971,2802,400.0031084,47.025,-0.000727,-0.000749,-0.000312,3.38E-05,-1.96E-05,3.97E-06,0,1,0,0,0
0x00,82320111,2942,420.0041583,49.775,0.000266,-0.001237,-0.000891,3.11E-05,-1.08E-05,2.22E-06,0,1,0,0,0
0x00,82320251,3082,440.0057946,52.075,0.000656,-0.000789,-0.000197,2.11E-05,5.92E-06,2.55E-07,0,1,0,0,0
0x00,82320391,3222,460.0065512,54.55,0.001094,8.80E-05,-8.80E-05,1.35E-05,3.77E-06,2.88E-07,0,1,0,0,0
0x00,82320531,3362,480.0096538,57.15,-6.70E-05,0.000468,-0.000464,-1.32E-05,-1.19E-05,2.05E-06,0,1,0,0,0
0x00,82320671,3502,500.0156888,59.7,4.10E-05,5.00E-06,-4.60E-05,6.46E-06,-5.63E-07,1.40E-08,0,1,0,0,0
0x00,82320810,3641,520.0079412,62.125,0.00018,-0.000593,-0.000798,2.54E-05,-4.23E-06,-2.02E-06,0,1,0,0,0
0x00,82320950,3781,540.0110438,64.525,-0.000257,-0.000921,-0.000877,3.30E-05,-7.58E-06,2.50E-08,0,1,0,0,0
0x00,82321090,3921,560.0062286,67.175,-0.000291,-0.000422,-0.000232,2.62E-05,-1.62E-05,1.92E-06,0,1,0,0,0
