Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,142211021,2,0.016715199,0,-1.70E-05,-1.60E-05,-0.000555,-3.25E-06,-1.59E-06,7.50E-08,0,1,0,0,0
0x00,142211161,142,20.01513165,0.5,-0.000639,0.000738,-0.002114,-2.11E-05,-1.34E-05,7.50E-08,0,1,0,0,0
0x00,142211301,282,40.00768313,2.4,0.000364,0.000309,-0.002709,-2.02E-05,7.06E-07,-1.58E-06,0,1,0,0,0
0x00,142211440,421,60.01401731,4.875,0.00026,0.000874,-0.003714,-3.60E-05,-1.53E-06,7.12E-07,0,1,0,0,0
0x00,142211580,561,80.01126077,7.35,0.000315,0.000876,-0.001479,-2.66E-05,-4.82E-07,3.20E-07,0,1,0,0,0
0x00,142211720,701,100.0134895,9.625,0.00029,0.000886,-0.000879,-2.98E-05,1.67E-06,2.30E-07,0,1,0,0,0
0x00,142211860,841,120.0045747,12.05,0.000413,0.000355,-0.001046,-1.05E-05,5.49E-06,-1.80E-06,0,1,0,0,0
0x00,142212000,981,140.0026979,14.675,-0.000616,0.00071,-0.000989,-1.82E-05,-1.56E-05,-1.67E-07,0,1,0,0,0
0x00,142212139,1120,160.0146038,17.1,-0.001063,0.000324,-0.001052,-1.42E-05,-2.42E-05,1.79E-06,0,1,0,0,0
0x00,142212279,1260,180.0077418,19.475,-0.000446,-0.000917,-0.001819,4.22E-06,-3.19E-06,2.08E-07,0,1,0,0,0
0x00,142212419,1400,200.0087975,22.125,0.000429,0.000287,-0.00163,-1.09E-05,-2.00E-06,-1.81E-06,0,1,0,0,0
0x00,142212559,1540,220.0160114,24.6,0.000854,0.000784,-0.001553,-1.41E-05,1.79E-05,-3.59E-06,0,1,0,0,0
0x00,142212698,1679,240.0088561,27.025,0.000823,0.000837,-0.001523,-1.70E-05,2.38E-05,-3.52E-06,0,1,0,0,0
0x00,142212838,1819,260.0154836,29.5,0.000896,0.00079,-0.001599,-7.68E-06,1.73E-05,-3.58E-06,0,1,0,0,0
0x00,142212978,1959,280.006862,32.15,0.000495,-0.000182,-0.001167,2.34E-06,9.86E-06,-3.85E-06,0,1,0,0,0
0x00,142213118,2099,300.002346,34.5,-0.001067,0.000431,-0.00108,-7.15E-06,-1.33E-05,-4.50E-06,0,1,0,0,0
0x00,142213257,2238,320.0092667,36.925,-0.001036,0.000378,-0.00111,-4.29E-06,-1.92E-05,-4.58E-06,0,1,0,0,0
0x00,142213397,2378,340.0117886,39.7,-0.000919,-9.00E-05,-0.001252,1.23E-05,-9.76E-06,-6.50E-08,0,1,0,0,0
0x00,142213537,2518,360.0154836,41.975,-4.80E-05,0.000502,-0.001635,-9.67E-06,-1.03E-05,2.30E-06,0,1,0,0,0
0x00,142213677,2658,380.00217,44.475,0.000309,0.00092,-0.00205,-2.62E-05,3.25E-06,4.86E-07,0,1,0,0,0
0x00,142213816,2797,400.0029325,47.075,0.000762,0.001263,-0.001416,-3.06E-05,8.19E-06,-1.63E-06,0,1,0,0,0
0x00,142213956,2937,420.0121992,49.6,0.000336,0.000994,-0.001512,-1.94E-05,1.02E-05,5.02E-07,0,1,0,0,0
0x00,142214096,3077,440.0094426,52.025,-1.10E-05,0.000635,-0.001113,7.78E-07,1.97E-06,2.41E-06,0,1,0,0,0
0x00,142214236,3217,460.0025806,54.5,-0.000499,0.000223,-0.001726,1.41E-06,-8.01E-06,-2.03E-06,0,1,0,0,0
0x00,142214376,3357,480.005689,57.1,-0.000416,-0.000231,-0.000709,1.79E-05,5.44E-06,-4.16E-06,0,1,0,0,0
0x00,142214515,3496,500.0061582,59.475,3.20E-05,-7.30E-05,-0.000626,5.96E-06,-7.76E-06,-6.46E-06,0,1,0,0,0
0x00,142214655,3636,520.0075072,62,-0.000508,0.000247,-0.000571,1.45E-06,-4.26E-06,-2.20E-06,0,1,0,0,0
0x00,142214800,3781,540.7501899,64.7,-0.000517,0.000737,-0.000526,-2.06E-06,-1.51E-05,-2.13E-07,0,1,0,0,0
0x00,142214935,3916,560.0143106,67.075,-0.000524,0.000232,-0.001126,-1.80E-06,-5.86E-06,-2.12E-06,0,1,0,0,0
0x00,142215074,4055,580.0030498,69.45,7.00E-05,9.80E-05,-0.001234,1.36E-05,6.34E-06,3.62E-07,0,1,0,0,0
0x00,142215214,4195,600.0149557,72.1,-0.000571,0.000818,-0.001622,-7.83E-06,-7.06E-06,1.05E-07,0,1,0,0,0
0x00,142215354,4335,620.0121992,74.55,-0.000118,0.001161,-0.000987,-1.22E-05,-2.12E-06,-2.02E-06,0,1,0,0,0
0x00,142215494,4475,640.0103224,77.025,0.000497,0.000367,-0.001138,2.43E-06,4.36E-06,-1.77E-06,0,1,0,0,0
0x00,142215633,4614,660.023108,79.5,7.20E-05,0.000161,-0.000691,2.04E-05,1.35E-05,-6.10E-06,0,1,0,0,0
0x00,142215773,4754,680.015073,82.125,-0.000471,0.000845,-0.001159,8.34E-06,-6.59E-06,5.90E-08,0,1,0,0,0
0x00,142215913,4894,700.0032257,84.475,-0.000543,0.000664,-0.001064,-8.91E-06,-2.20E-05,-2.29E-07,0,1,0,0,0
0x00,142216053,5034,720.0139587,86.925,-0.000465,0.000802,-0.000588,8.00E-06,-1.03E-05,-1.07E-07,0,1,0,0,0
0x00,142216192,5173,740.0038709,89.7,-0.00045,0.000734,-0.001173,7.61E-06,-1.78E-05,-1.08E-07,0,1,0,0,0
0x00,142216332,5313,760.0069793,91.975,-0.000414,0.000318,-0.00068,1.80E-05,-6.10E-08,-2.08E-06,0,1,0,0,0
0x00,142216472,5453,780.0133135,94.475,0.00061,-0.000223,-0.001288,1.81E-05,2.85E-06,-3.90E-06,0,1,0,0,0
0x00,142216612,5593,800.0131962,97.075,-2.70E-05,0.000599,-0.002263,6.28E-07,-1.49E-06,-3.90E-06,0,1,0,0,0
