Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,144236856,2,0.015835452,0,-1.10E-05,-5.90E-05,1.60E-05,-3.60E-06,-5.33E-06,-9.10E-08,0,1,0,0,0
0x00,144236996,142,20.01454516,0.5,5.40E-05,8.20E-05,-0.001789,1.04E-05,4.75E-06,4.37E-07,0,1,0,0,0
0x00,144237136,282,40.01032237,2.4,3.10E-05,0.00011,-0.002914,7.46E-06,6.89E-06,6.79E-07,0,1,0,0,0
0x00,144237276,422,60.0014076,4.875,0.000538,-0.000221,-0.003482,2.37E-06,2.08E-06,2.95E-06,0,1,0,0,0
0x00,144237415,561,80.00363629,7.375,0.00052,-0.000171,-0.001172,2.45E-06,9.57E-06,2.62E-06,0,1,0,0,0
0x00,144237555,701,100.0111435,9.625,0.000424,0.000414,-0.001062,-6.90E-06,1.08E-05,-1.71E-06,0,1,0,0,0
0x00,144237695,841,120.0151317,12.05,0.000512,-0.000166,-0.000612,5.59E-06,1.15E-05,-3.93E-06,0,1,0,0,0
0x00,144237835,981,140.0050439,14.675,0.000113,-0.000125,-0.001261,1.21E-05,-1.61E-05,2.70E-08,0,1,0,0,0
0x00,144237974,1120,160.0134308,17.1,-0.000843,-0.000792,-0.001329,1.44E-05,-2.17E-05,4.09E-06,0,1,0,0,0
0x00,144238114,1260,180.011554,19.45,0.000143,-0.000726,-0.00132,1.49E-05,-1.65E-05,-2.13E-06,0,1,0,0,0
0x00,144238254,1400,200.01173,22.125,0.000577,-0.000233,-0.001802,8.52E-06,1.53E-06,2.64E-06,0,1,0,0,0
0x00,144238394,1540,220.0127857,24.6,0.001522,-9.00E-05,-0.000608,6.22E-06,1.63E-05,-3.67E-06,0,1,0,0,0
0x00,144238533,1679,240.0026979,27.025,0.000948,0.000646,-0.001047,-8.66E-06,2.09E-06,2.56E-06,0,1,0,0,0
0x00,144238673,1819,260.0096186,29.5,0.001061,5.70E-05,-0.001197,7.04E-06,5.80E-07,4.38E-07,0,1,0,0,0
0x00,144238813,1959,280.0036363,32.125,0.000108,2.00E-06,-0.000693,1.61E-05,-3.28E-06,1.19E-07,0,1,0,0,0
0x00,144238953,2099,300.0143692,34.5,-0.000414,8.90E-05,-0.000661,1.00E-05,-2.19E-05,-2.43E-06,0,1,0,0,0
0x00,144239092,2238,320.0204101,36.925,-0.000892,-0.000244,-0.000694,1.12E-05,-2.47E-05,-3.98E-07,0,1,0,0,0
0x00,144239232,2378,340.0038709,39.675,-0.000291,-0.000422,-0.000232,2.62E-05,-1.62E-05,1.92E-06,0,1,0,0,0
0x00,144239372,2518,360.0052198,41.95,0.000148,-0.000541,-0.000768,2.25E-05,1.66E-06,-1.94E-06,0,1,0,0,0
0x00,144239512,2658,380.0124338,44.475,0.000561,-0.000165,-0.001218,8.91E-06,9.01E-06,2.64E-06,0,1,0,0,0
0x00,144239652,2798,400.008211,47.075,0.000419,0.001005,-0.001604,-6.47E-06,9.05E-06,5.31E-07,0,1,0,0,0
0x00,144239791,2937,420.0051612,49.6,0.00105,0.000227,-0.0012,1.14E-05,1.71E-05,6.97E-07,0,1,0,0,0
0x00,144239931,3077,440.0021114,52.025,0.000577,-0.000233,-0.001802,8.52E-06,1.53E-06,2.64E-06,0,1,0,0,0
0x00,144240071,3217,460.0110848,54.475,0.00054,0.000921,-0.001155,8.97E-06,-1.70E-06,3.18E-07,0,1,0,0,0
0x00,144240211,3357,480.012727,57.1,0.000102,4.50E-05,-0.001264,1.65E-05,4.53E-07,2.85E-07,0,1,0,0,0
0x00,144240350,3496,500.008211,59.475,0.000135,0.000541,-0.001265,1.94E-05,-1.09E-05,2.29E-06,0,1,0,0,0
0x00,144240490,3636,520.0013489,61.975,-0.000385,0.000712,-9.30E-05,1.70E-05,-2.05E-05,-3.35E-07,0,1,0,0,0
0x00,144240646,3792,542.4803596,64.9,-0.000364,9.00E-05,-0.001266,1.34E-05,-2.44E-05,4.14E-06,0,1,0,0,0
0x00,144240770,3916,560.0119646,67.05,0.000237,-8.70E-05,-0.000803,2.84E-05,-1.59E-05,6.45E-06,0,1,0,0,0
0x00,144240909,4055,580.0018768,69.425,0.000666,-0.000265,-0.001323,2.11E-05,-3.33E-06,2.50E-06,0,1,0,0,0
0x00,144241049,4195,600.0234599,72.075,0.001036,0.000532,-0.001706,2.75E-07,-1.18E-05,2.50E-06,0,1,0,0,0
0x00,144241189,4335,620.0045747,74.55,0.000546,0.000878,-0.000584,8.62E-06,-5.43E-06,1.52E-07,0,1,0,0,0
0x00,144241329,4475,640.0041641,77,0.000128,0.000119,-0.000725,2.33E-05,7.37E-06,3.01E-07,0,1,0,0,0
0x00,144241468,4614,660.0140173,79.475,0.000227,-0.000631,-0.000273,3.15E-05,-8.53E-06,-2.17E-06,0,1,0,0,0
0x00,144241608,4754,680.0048093,82.125,-0.000817,-0.000207,0.000369,2.41E-05,-2.21E-05,-5.34E-07,0,1,0,0,0
0x00,144241748,4894,700.0111435,84.475,-0.001229,-0.000545,-0.000312,3.49E-05,-2.76E-05,1.60E-06,0,1,0,0,0
0x00,144241888,5034,720.0101464,86.925,-0.000702,-0.000759,-0.000912,3.70E-05,-2.17E-05,4.06E-06,0,1,0,0,0
0x00,144242028,5174,740.0144279,89.675,-0.000255,-0.000372,-0.000849,3.30E-05,-1.31E-05,2.10E-06,0,1,0,0,0
0x00,144242167,5313,760.0140173,91.975,0.000185,5.70E-05,-0.001356,2.94E-05,-6.71E-07,3.15E-07,0,1,0,0,0
0x00,144242307,5453,780.004516,94.475,0.000635,-0.000212,-0.001293,1.82E-05,2.56E-06,2.57E-06,0,1,0,0,0
0x00,144242447,5593,800.0055717,97.075,5.60E-05,0.000631,-0.00176,1.04E-05,-7.50E-07,2.51E-06,0,1,0,0,0
0x00,144242586,5732,820.0019354,99.6,0.001113,0.000121,-0.001259,1.71E-05,5.34E-06,5.44E-07,0,1,0,0,0
0x00,144242726,5872,840.0044574,102.025,0.000622,0.000385,-0.001276,2.18E-05,2.67E-06,-1.73E-06,0,1,0,0,0
0x00,144242866,6012,860.0096186,104.475,0.000129,0.000584,-0.001835,1.98E-05,-7.20E-06,2.45E-06,0,1,0,0,0
0x00,144243006,6152,880.006862,107.125,0.000249,3.50E-05,-0.000276,3.88E-05,-3.37E-06,8.80E-08,0,1,0,0,0
0x00,144243146,6292,900.001173,109.475,-0.000295,0.00015,-0.001369,2.98E-05,-1.99E-05,-2.22E-06,0,1,0,0,0
0x00,144243285,6431,920.0078004,111.975,-0.000193,-0.000478,-0.000908,3.88E-05,-2.49E-05,1.95E-06,0,1,0,0,0
0x00,144243431,6577,940.9149959,114.7,-0.000715,-0.000162,-0.000895,4.06E-05,-2.16E-05,-2.48E-07,0,1,0,0,0
0x00,144243565,6711,960.0096186,117.075,-0.000239,0.000108,-0.001404,3.27E-05,-2.61E-05,4.18E-06,0,1,0,0,0
0x00,144243705,6851,980.008035,119.425,0.000241,1.50E-05,-0.00139,3.24E-05,-6.85E-06,6.71E-06,0,1,0,0,0
0x00,144243844,6990,1000.003226,122.125,0.000712,-0.000157,-0.001956,3.15E-05,5.17E-06,2.77E-06,0,1,0,0,0
0x00,144243984,7130,1020.007507,124.55,0.001161,8.40E-05,-0.000735,2.32E-05,1.05E-06,3.93E-07,0,1,0,0,0
0x00,144244124,7270,1040.010322,126.975,0.000166,0.000489,-0.001294,2.23E-05,-1.68E-05,2.21E-06,0,1,0,0,0
0x00,144244264,7410,1060.004633,129.5,-0.000182,-0.000419,-0.000924,4.24E-05,-1.95E-05,2.04E-06,0,1,0,0,0
0x00,144244403,7549,1080.011261,132.15,-0.000587,-0.000799,-0.001034,5.28E-05,-2.88E-05,4.01E-06,0,1,0,0,0
0x00,144244543,7689,1100.009384,134.5,-0.001152,-0.000489,-0.000975,4.82E-05,-2.50E-05,1.80E-06,0,1,0,0,0
0x00,144244683,7829,1120.002522,136.925,-0.000218,-0.000468,-0.000308,3.56E-05,-2.27E-05,1.86E-06,0,1,0,0,0
0x00,144244823,7969,1140.004164,139.7,0.000241,0.000525,-0.000231,3.52E-05,-1.42E-05,2.07E-06,0,1,0,0,0
0x00,144244963,8109,1160.007859,141.975,0.000791,-0.000247,-0.001461,4.05E-05,-5.01E-06,2.54E-06,0,1,0,0,0
0x00,144245102,8248,1180.007449,144.475,0.000828,-0.000114,-0.000939,5.09E-05,7.23E-06,2.65E-06,0,1,0,0,0
0x00,144245242,8388,1200.005865,147.075,0.000665,0.000939,-0.001293,2.83E-05,-3.39E-06,3.62E-07,0,1,0,0,0
0x00,144245382,8528,1220.005748,149.6,0.000709,-0.000176,-0.00023,3.12E-05,5.18E-06,2.44E-06,0,1,0,0,0
0x00,144245522,8668,1240.017654,152,0.000751,-0.00017,-0.000276,3.77E-05,4.62E-06,2.45E-06,0,1,0,0,0
0x00,144245661,8807,1260.004927,154.475,0.000138,0.001153,-0.000692,2.62E-05,-9.23E-06,-2.09E-06,0,1,0,0,0
0x00,144245801,8947,1280.007742,157.1,0.000316,3.20E-05,-0.000923,4.84E-05,-6.09E-06,1.93E-07,0,1,0,0,0
0x00,144245941,9087,1300.015542,159.475,-0.000227,0.00023,-0.000877,4.31E-05,-1.35E-05,-2.19E-06,0,1,0,0,0
0x00,144246081,9227,1320.023049,161.975,-0.000237,0.000192,-0.000265,3.64E-05,-1.70E-05,4.11E-06,0,1,0,0,0
0x00,144246220,9366,1340.015308,164.575,-0.000147,-0.00037,-0.001541,4.92E-05,-1.64E-05,2.22E-06,0,1,0,0,0
0x00,144246360,9506,1360.011671,167.025,-0.000628,-4.80E-05,-0.001574,5.75E-05,-1.37E-05,3.90E-08,0,1,0,0,0
0x00,144246500,9646,1380.007449,169.45,0.000341,2.20E-05,-0.001523,5.16E-05,-8.25E-06,2.83E-07,0,1,0,0,0
0x00,144246640,9786,1400.006158,172.1,0.000267,-1.40E-05,-0.002586,3.87E-05,-1.09E-05,4.19E-07,0,1,0,0,0
0x00,144246779,9925,1420.009267,174.55,0.000807,-0.000232,-0.000906,4.37E-05,-3.42E-06,2.47E-06,0,1,0,0,0
0x00,144246919,10065,1440.003578,177,0.001239,0.000688,-0.001368,3.66E-05,-1.84E-06,2.67E-06,0,1,0,0,0
0x00,144247059,10205,1460.004047,179.475,0.000753,0.000359,-0.000843,4.08E-05,-2.75E-06,-1.85E-06,0,1,0,0,0
0x00,144247199,10345,1480.00393,182.125,0.000354,-6.40E-05,-0.000382,5.09E-05,-1.57E-05,-5.00E-08,0,1,0,0,0
0x00,144247338,10484,1500.007331,184.5,-0.001115,-0.000669,-0.001572,4.71E-05,-4.37E-05,1.63E-06,0,1,0,0,0
0x00,144247478,10624,1520.012786,186.925,-0.001007,-0.001132,-0.001155,6.68E-05,-3.24E-05,-4.04E-07,0,1,0,0,0
0x00,144247618,10764,1540.004751,189.7,-0.001068,-0.000478,-0.001067,6.11E-05,-2.61E-05,1.83E-06,0,1,0,0,0
0x00,144247758,10904,1560.019003,192,-6.50E-05,-0.000907,-0.001662,6.20E-05,-1.20E-05,1.74E-07,0,1,0,0,0
0x00,144247897,11043,1580.007742,194.475,0.000892,-0.000156,-0.000455,6.34E-05,2.66E-06,-3.96E-06,0,1,0,0,0
0x00,144248037,11183,1600.004105,197.05,0.000276,0.000574,-0.000848,4.21E-05,-1.10E-05,2.26E-06,0,1,0,0,0
0x00,144248177,11323,1620.013665,199.575,0.000341,2.20E-05,-0.001523,5.16E-05,-8.25E-06,2.83E-07,0,1,0,0,0
0x00,144248317,11463,1640.018533,202.025,-0.00012,-0.000296,-0.001003,5.60E-05,-9.44E-06,2.24E-06,0,1,0,0,0
0x00,144248456,11602,1660.012844,204.475,-6.40E-05,-0.000358,-0.001633,6.21E-05,-1.75E-05,2.25E-06,0,1,0,0,0
0x00,144248596,11742,1680.007742,207.1,0.000494,-0.00058,6.00E-06,7.35E-05,-1.03E-05,-2.16E-06,0,1,0,0,0
0x00,144248736,11882,1700.006451,209.475,-0.00062,0.000457,-0.000974,5.72E-05,-2.29E-05,1.95E-06,0,1,0,0,0
0x00,144248876,12022,1720.008973,211.95,-7.00E-05,0.000196,-0.001045,6.53E-05,-2.11E-05,-2.22E-06,0,1,0,0,0
0x00,144249015,12161,1740.007097,214.625,-0.000507,-0.000132,-0.001125,7.29E-05,-2.44E-05,-1.75E-07,0,1,0,0,0
0x00,144249155,12301,1760.00522,217.075,-0.000523,-0.000147,-0.001679,6.97E-05,-2.60E-05,-9.90E-08,0,1,0,0,0
0x00,144249295,12441,1780.002757,219.425,-7.00E-06,-0.000885,-0.001153,7.17E-05,-1.10E-05,1.13E-07,0,1,0,0,0
0x00,144249435,12581,1800.015542,222.075,0.000404,-8.30E-05,-0.001583,5.74E-05,-2.00E-05,1.30E-07,0,1,0,0,0
0x00,144249574,12720,1820.003108,224.55,-0.000143,0.000242,-0.000969,5.60E-05,-1.46E-05,-2.16E-06,0,1,0,0,0
0x00,144249714,12860,1840.010616,227,0.000431,-9.00E-06,-0.001044,6.42E-05,-1.31E-05,1.46E-07,0,1,0,0,0
0x00,144249854,13000,1860.00522,229.475,0.000554,-0.00054,-0.001211,8.35E-05,-9.29E-06,-1.89E-06,0,1,0,0,0
0x00,144249994,13140,1880.008328,232.125,-6.00E-06,-0.000337,-0.001124,7.18E-05,-1.64E-05,2.19E-06,0,1,0,0,0
0x00,144250133,13279,1900.005572,234.5,-0.000559,-0.000197,-0.001062,6.29E-05,-2.92E-05,-2.80E-07,0,1,0,0,0
0x00,144250273,13419,1920.011613,236.925,-0.000507,-0.000132,-0.001125,7.29E-05,-2.44E-05,-1.75E-07,0,1,0,0,0
0x00,144250413,13559,1940.010616,239.7,-0.000542,-0.000181,-0.000508,6.61E-05,-2.76E-05,-3.56E-07,0,1,0,0,0
0x00,144250553,13699,1960.000821,242,0.000108,-0.000926,-0.001275,8.75E-05,-1.80E-05,6.60E-08,0,1,0,0,0
0x00,144250692,13838,1980.013314,244.45,0.000556,9.00E-06,-0.001182,8.36E-05,-1.48E-05,1.90E-07,0,1,0,0,0
0x00,144250832,13978,2000.011437,247.05,-0.000185,0.000702,-0.002033,4.60E-05,-2.87E-05,-2.10E-08,0,1,0,0,0
0x00,144250972,14118,2020.022756,249.6,0.000959,-0.00016,-0.001102,7.31E-05,-5.80E-08,-3.86E-06,0,1,0,0,0
0x00,144251112,14258,2040.000938,252.025,0.000481,-0.000493,-0.001136,7.42E-05,-2.84E-06,-1.83E-06,0,1,0,0,0
0x00,144251251,14397,2060.002874,254.475,0.000446,-7.70E-05,-0.001629,6.38E-05,-2.06E-05,1.45E-07,0,1,0,0,0
0x00,144251391,14537,2080.000704,257.125,0.000498,-1.30E-05,-0.001691,7.39E-05,-1.58E-05,2.51E-07,0,1,0,0,0
0x00,144251531,14677,2100.014662,259.475,-0.0001,0.000183,-0.003879,5.91E-05,-2.43E-05,-1.74E-06,0,1,0,0,0
0x00,144251671,14817,2120.008094,261.975,-0.000166,0.000122,-0.006097,4.61E-05,-3.07E-05,-1.44E-06,0,1,0,0,0
0x00,144251810,14956,2140.007683,264.625,-0.000197,2.60E-05,-0.010071,3.63E-05,-4.29E-05,-8.79E-07,0,1,0,0,0
0x00,144251950,15096,2160.012258,267.075,-0.000665,-0.000863,-0.013015,3.76E-05,-4.40E-05,-4.29E-07,0,1,0,0,0
0x00,144252090,15236,2180.009795,269.45,-0.000202,-0.000461,-0.012396,3.69E-05,-3.37E-05,-2.46E-06,0,1,0,0,0
0x00,144252230,15376,2200.002932,272.1,-0.000381,6.70E-05,-0.014464,8.16E-06,-3.86E-05,-3.30E-08,0,1,0,0,0
0x00,144252370,15516,2220.018357,274.55,-0.000498,0.000253,-0.0155,-3.33E-06,-1.88E-05,4.37E-07,0,1,0,0,0
0x00,144252509,15655,2240.009736,277,-6.50E-05,0.000642,-0.017717,-1.03E-05,-1.17E-05,-1.11E-06,0,1,0,0,0
0x00,144252649,15795,2260.011671,279.475,-1.30E-05,9.30E-05,-0.020672,-3.63E-06,-1.05E-05,-2.68E-06,0,1,0,0,0
0x00,144252789,15935,2280.015073,282.125,-1.70E-05,0.00062,-0.024079,-6.53E-06,-2.14E-05,-2.50E-08,0,1,0,0,0
0x00,144252929,16075,2300.005865,284.5,-0.000605,0.00028,-0.028581,-2.42E-05,-2.63E-05,2.79E-06,0,1,0,0,0
0x00,144253068,16214,2320.002522,286.9,-0.000517,-0.000136,-0.031015,-7.12E-06,-1.29E-05,1.33E-06,0,1,0,0,0
0x00,144253208,16354,2340.012668,289.675,-0.000543,-4.70E-05,-0.034437,-9.36E-06,-7.00E-06,2.07E-06,0,1,0,0,0
0x00,144253348,16494,2360.015484,291.975,-3.90E-05,-0.000253,-0.036758,-7.06E-06,-8.92E-07,-1.62E-06,0,1,0,0,0
0x00,144253488,16634,2380.007742,294.475,-0.000121,-0.000102,-0.039549,-1.54E-05,1.30E-05,-8.90E-07,0,1,0,0,0
0x00,144253627,16773,2400.014369,297.05,0.000197,0.000794,-0.042754,-4.17E-05,1.25E-05,-2.39E-07,0,1,0,0,0
0x00,144253767,16913,2420.014252,299.575,0.000168,0.000865,-0.04445,-4.42E-05,1.84E-05,1.69E-07,0,1,0,0,0
0x00,144253907,17053,2440.001818,302.025,0.00061,0.001229,-0.047822,-5.12E-05,2.17E-05,-1.21E-06,0,1,0,0,0
0x00,144254047,17193,2460.019296,304.475,0.000598,0.000702,-0.051857,-5.39E-05,2.56E-05,-2.55E-06,0,1,0,0,0
0x00,144254186,17332,2480.003636,307.1,0.000546,0.000801,-0.054678,-5.94E-05,3.36E-05,-1.90E-06,0,1,0,0,0
0x00,144254326,17472,2500.003226,309.45,-7.00E-05,0.001592,-0.059689,-7.66E-05,2.17E-05,-1.24E-06,0,1,0,0,0
0x00,144254466,17612,2520.011026,311.95,-6.90E-05,0.001527,-0.062553,-8.00E-05,1.26E-05,-8.32E-07,0,1,0,0,0
0x00,144254606,17752,2540.003578,314.6,-0.001099,0.000966,-0.067163,-8.30E-05,1.54E-05,-2.26E-06,0,1,0,0,0
0x00,144254757,17903,2561.671461,317.25,-0.001059,0.000969,-0.07237,-7.92E-05,9.43E-06,-1.35E-06,0,1,0,0,0
0x00,144254885,18031,2580.010968,319.425,-0.001124,0.000606,-0.076362,-8.40E-05,3.04E-05,-2.44E-06,0,1,0,0,0
0x00,144255025,18171,2600.002639,322.1,-0.000803,0.001519,-0.081292,-0.000110003,2.99E-05,-1.46E-06,0,1,0,0,0
0x00,144255165,18311,2620.01044,324.55,0.000165,0.001204,-0.084155,-0.00011132,5.36E-05,-2.54E-06,0,1,0,0,0
0x00,144255304,18450,2640.00651,326.975,0.000133,0.001337,-0.088147,-0.00011322,6.32E-05,-1.63E-06,0,1,0,0,0
0x00,144255444,18590,2660.007273,329.475,-0.000405,0.001573,-0.091553,-0.000117961,5.57E-05,-3.35E-06,1,1,0,0,0
