Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,149612728,3,0.018181445,0,6.00E-06,-4.40E-05,0.00057,-3.48E-07,-3.73E-06,-1.67E-07,0,1,0,0,0
0x00,149612868,143,20.00486794,0.5,1.90E-05,3.30E-05,-0.001172,3.56E-06,1.58E-06,2.56E-07,0,1,0,0,0
0x00,149613008,283,40.02087934,2.4,5.30E-05,-1.00E-06,-0.002927,6.73E-06,-4.33E-06,5.11E-07,0,1,0,0,0
0x00,149613147,422,60.00316709,4.875,1.30E-05,0.000542,-0.002852,3.47E-07,-9.26E-06,2.57E-06,0,1,0,0,0
0x00,149613287,562,80.00539578,7.375,8.00E-06,-2.50E-05,-0.001155,-4.20E-08,-3.75E-06,1.65E-07,0,1,0,0,0
0x00,149613427,702,100.0099705,9.625,-8.00E-05,0.000555,-0.001605,-1.25E-05,-4.39E-06,2.38E-06,0,1,0,0,0
0x00,149613567,842,120.0072139,12.05,-6.30E-05,0.00057,-0.001051,-9.28E-06,-2.80E-06,2.30E-06,0,1,0,0,0
0x00,149613706,981,140.0006451,14.675,-0.001094,0.000377,-0.001023,-1.71E-05,-1.83E-05,1.86E-06,0,1,0,0,0
0x00,149613846,1121,160.0081523,17.1,-0.00099,0.000277,-0.001128,-4.92E-06,-3.07E-05,1.73E-06,0,1,0,0,0
0x00,149613986,1261,180.0124338,19.45,-0.000833,-0.000733,-0.001345,1.80E-05,-1.63E-05,4.18E-06,0,1,0,0,0
0x00,149614126,1401,200.004692,22.1,-0.000378,-0.000372,-0.002436,1.40E-05,-1.14E-05,2.39E-06,0,1,0,0,0
0x00,149614266,1541,220.0039882,24.6,0.00055,-0.000773,-0.00123,5.23E-06,9.18E-06,4.67E-07,0,1,0,0,0
0x00,149614405,1680,240.0158941,27.025,0.000392,0.000466,-0.001032,-9.76E-06,1.67E-05,-1.64E-06,0,1,0,0,0
0x00,149614545,1820,260.0052198,29.5,-7.10E-05,6.50E-05,-0.001651,-9.02E-06,6.43E-06,3.93E-07,0,1,0,0,0
0x00,149614685,1960,280.0106743,32.125,-0.000378,-0.000837,-0.001327,1.75E-05,3.17E-06,2.38E-07,0,1,0,0,0
0x00,149614825,2100,300.01173,34.5,-0.001401,-0.000525,-0.000699,9.44E-06,-2.16E-05,1.71E-06,0,1,0,0,0
0x00,149614965,2240,320.0101464,36.925,-0.001335,-0.000529,-0.001345,1.91E-05,-2.43E-05,1.81E-06,0,1,0,0,0
0x00,149615104,2379,340.0050439,39.675,-0.001386,-0.000593,-0.001283,9.05E-06,-2.91E-05,1.71E-06,0,1,0,0,0
0x00,149615244,2519,360.0137241,41.975,-0.000391,-0.000449,-0.000694,1.01E-05,-1.67E-05,1.97E-06,0,1,0,0,0
0x00,149615384,2659,380.0141933,44.475,0.000605,-0.000305,-0.000106,1.11E-05,-4.34E-06,2.23E-06,0,1,0,0,0
0x00,149615524,2799,400.0126097,47.075,-5.00E-05,-4.70E-05,-0.001664,-9.75E-06,-4.78E-06,2.25E-07,0,1,0,0,0
0x00,149615663,2938,420.0066274,49.6,-3.30E-05,-3.10E-05,-0.00111,-6.50E-06,-3.19E-06,1.50E-07,0,1,0,0,0
0x00,149615803,3078,440.0138414,52.025,7.50E-05,-2.90E-05,-0.001802,9.63E-06,-6.47E-06,2.70E-07,0,1,0,0,0
0x00,149615943,3218,460.0131376,54.5,0.00068,-0.000881,-0.001936,2.06E-05,-5.31E-06,4.20E-07,0,1,0,0,0
0x00,149616083,3358,480.022111,57.1,0.000671,-0.000857,-0.000781,2.07E-05,-1.56E-06,2.54E-07,0,1,0,0,0
0x00,149616222,3497,500.0170084,59.475,6.50E-05,-8.70E-05,-0.001786,6.03E-06,-1.18E-05,1.79E-07,0,1,0,0,0
0x00,149616362,3637,520.0013489,61.975,-0.000413,-0.000421,-0.00182,7.16E-06,-1.46E-05,2.21E-06,0,1,0,0,0
0x00,149616502,3777,540.0220523,64.6,-0.000313,-0.000394,-0.001357,2.33E-05,-1.41E-05,2.16E-06,0,1,0,0,0
0x00,149616642,3917,560.0078591,67.075,-0.00075,-0.000721,-0.001437,3.09E-05,-1.75E-05,4.21E-06,0,1,0,0,0
0x00,149616781,4056,580.00217,69.45,-0.000272,-0.000388,-0.001403,2.98E-05,-1.47E-05,2.18E-06,0,1,0,0,0
0x00,149616921,4196,600.0126097,72.075,-0.000386,0.000118,-0.002391,1.05E-05,-2.22E-05,4.38E-06,0,1,0,0,0
0x00,149617061,4336,620.0207034,74.575,-0.00038,-0.00039,-0.000711,1.37E-05,-1.14E-05,2.06E-06,0,1,0,0,0
0x00,149617201,4476,640.0018181,77.025,0.000102,4.50E-05,-0.001264,1.65E-05,4.53E-07,2.85E-07,0,1,0,0,0
0x00,149617341,4616,660.0216418,79.5,0.000112,0.000104,-0.00128,2.01E-05,5.78E-06,3.76E-07,0,1,0,0,0
0x00,149617480,4755,680.0133135,82.125,-0.000451,0.000185,-0.001202,7.52E-06,-1.23E-05,-2.19E-06,0,1,0,0,0
0x00,149617620,4895,700.001173,84.475,-0.000873,-0.00021,-0.001866,1.47E-05,-2.31E-05,-1.42E-07,0,1,0,0,0
0x00,149617760,5035,720.0101464,86.925,-0.000184,-0.000968,-0.000953,4.23E-05,-1.40E-05,-3.70E-08,0,1,0,0,0
0x00,149617900,5175,740.0088561,89.7,-0.001303,-0.000581,-0.001375,2.20E-05,-3.02E-05,1.74E-06,0,1,0,0,0
0x00,149618040,5315,760.0239878,92,-0.000258,-0.001004,-0.002016,2.93E-05,-1.67E-05,9.90E-08,0,1,0,0,0
0x00,149618179,5454,780.0121405,94.475,-0.000263,-0.000878,-0.001448,3.33E-05,-3.85E-06,1.91E-07,0,1,0,0,0
0x00,149618319,5594,800.0260992,97.1,6.70E-05,0.000461,-0.001757,6.11E-06,-1.73E-05,2.26E-06,0,1,0,0,0
0x00,149618459,5734,820.0110262,99.6,8.10E-05,-7.20E-05,-0.001231,9.28E-06,-1.02E-05,1.03E-07,0,1,0,0,0
0x00,149618598,5873,840.0047506,102.025,0.000123,-6.60E-05,-0.001277,1.57E-05,-1.08E-05,1.18E-07,0,1,0,0,0
0x00,149618738,6013,860.0134308,104.5,-0.000894,-9.90E-05,-0.001852,1.55E-05,-1.19E-05,2.60E-08,0,1,0,0,0
0x00,149618878,6153,880.0071553,107.15,-0.000831,-0.00067,-0.000802,2.47E-05,-9.12E-06,-2.28E-06,0,1,0,0,0
0x00,149619018,6293,900.0099705,109.475,-0.000746,-0.000109,-0.000865,3.77E-05,-1.57E-05,-1.72E-07,0,1,0,0,0
0x00,149619158,6433,920.0119059,112,-0.001245,-0.00056,-0.000866,3.17E-05,-2.92E-05,1.68E-06,0,1,0,0,0
0x00,149619297,6572,940.0117886,114.6,-0.00163,-0.000823,-0.001009,4.93E-05,-2.78E-05,3.83E-06,0,1,0,0,0
0x00,149619437,6712,960.0122578,117.1,-0.00107,-0.001026,-0.001095,6.10E-05,-2.06E-05,-2.51E-07,0,1,0,0,0
0x00,149619577,6852,980.0136068,119.45,-0.000636,-0.001227,-0.000449,5.03E-05,-9.89E-06,2.01E-06,0,1,0,0,0
0x00,149619717,6992,1000.007624,122.1,-0.000222,-0.000872,-0.001494,3.98E-05,-4.41E-06,2.06E-07,0,1,0,0,0
0x00,149619856,7131,1020.004868,124.55,0.00019,-0.000535,-0.000814,2.90E-05,1.09E-06,-1.93E-06,0,1,0,0,0
0x00,149619996,7271,1040.010616,127,-0.000361,-0.000356,-0.001882,1.72E-05,-9.81E-06,2.32E-06,0,1,0,0,0
0x00,149620136,7411,1060.010205,129.5,0.000206,-5.40E-05,-0.001369,2.87E-05,-1.19E-05,1.48E-07,0,1,0,0,0
0x00,149620276,7551,1080.01566,132.15,-0.000788,-0.000115,-0.000819,3.13E-05,-1.52E-05,-1.87E-07,0,1,0,0,0
0x00,149620416,7691,1100.004985,134.525,-0.001235,-0.000501,-0.000883,3.53E-05,-2.39E-05,1.77E-06,0,1,0,0,0
0x00,149620555,7830,1120.009267,136.925,-0.001152,-0.000489,-0.000975,4.82E-05,-2.50E-05,1.80E-06,0,1,0,0,0
0x00,149620695,7970,1140.00651,139.675,-0.001138,-0.001106,-0.001588,4.77E-05,-2.70E-05,-2.82E-07,0,1,0,0,0
0x00,149620835,8110,1160.01519,141.975,-0.000656,-0.000671,-0.002141,5.05E-05,-1.51E-05,-2.06E-06,0,1,0,0,0
0x00,149620975,8250,1180.007155,144.475,-0.00022,-0.000323,-0.001465,3.99E-05,-9.91E-06,2.28E-06,0,1,0,0,0
0x00,149621114,8389,1200.003519,147.05,0.000292,-0.000489,-0.002077,4.54E-05,1.55E-06,-1.64E-06,0,1,0,0,0
0x00,149621254,8529,1220.001056,149.6,0.000283,-0.000464,-0.000922,4.55E-05,5.30E-06,-1.81E-06,0,1,0,0,0
0x00,149621394,8669,1240.009149,152.025,0.000268,6.90E-05,-0.001448,4.23E-05,-1.80E-06,3.44E-07,0,1,0,0,0
0x00,149621534,8809,1260.003754,154.475,0.000286,-0.000446,-0.002648,4.58E-05,5.28E-06,-1.48E-06,0,1,0,0,0
0x00,149621674,8949,1280.01566,157.1,0.00029,-4.20E-05,-0.001461,4.16E-05,-1.30E-05,1.77E-07,0,1,0,0,0
0x00,149621813,9088,1300.007331,159.475,-0.000727,-7.50E-05,-0.002036,4.13E-05,-1.42E-05,8.40E-08,0,1,0,0,0
0x00,149621953,9228,1320.012492,161.975,-0.000648,-0.000165,-0.001541,5.03E-05,-2.44E-05,-1.43E-07,0,1,0,0,0
0x00,149622093,9368,1340.013548,164.6,-0.001191,3.30E-05,-0.001495,4.49E-05,-3.18E-05,-2.52E-06,0,1,0,0,0
0x00,149622237,9512,1360.611366,167.125,-0.001101,-0.000508,-0.002176,5.46E-05,-2.93E-05,1.98E-06,0,1,0,0,0
0x00,149622372,9647,1380.009501,169.45,-2.40E-05,-0.000901,-0.001708,6.85E-05,-1.25E-05,1.89E-07,0,1,0,0,0
0x00,149622512,9787,1400.008504,172.1,-0.000163,-0.000385,-0.002096,4.59E-05,-1.79E-05,2.30E-06,0,1,0,0,0
0x00,149622652,9927,1420.020703,174.575,-0.00022,-0.000323,-0.001465,3.99E-05,-9.91E-06,2.28E-06,0,1,0,0,0
0x00,149622792,10067,1440.007976,177,0.00033,-0.000585,-0.001536,4.80E-05,-8.07E-06,-1.89E-06,0,1,0,0,0
0x00,149622932,10207,1460.015777,179.475,-0.000103,-0.000811,-0.002203,5.95E-05,-2.36E-06,4.16E-07,0,1,0,0,0
0x00,149623071,10346,1480.00393,182.15,-0.000588,-0.000591,-0.001649,6.39E-05,-8.76E-06,-2.02E-06,0,1,0,0,0
0x00,149623211,10486,1500.022287,184.5,-0.001105,-0.00061,-0.001589,5.07E-05,-3.83E-05,1.72E-06,0,1,0,0,0
0x00,149623351,10626,1520.008387,186.95,-0.001542,-0.000938,-0.001668,5.83E-05,-4.17E-05,3.76E-06,0,1,0,0,0
0x00,149623491,10766,1540.002405,189.7,-0.001497,-0.001607,-0.002311,6.07E-05,-4.96E-05,1.61E-06,0,1,0,0,0
0x00,149623630,10905,1560.008152,192,-0.00095,-0.001704,-0.002944,7.00E-05,-3.31E-05,4.25E-06,0,1,0,0,0
0x00,149623770,11045,1580.012727,194.475,-0.00056,-0.001256,-0.00225,5.99E-05,-1.64E-05,2.28E-06,0,1,0,0,0
0x00,149623910,11185,1600.004985,197.075,-0.000712,-0.000143,-0.00262,4.09E-05,-2.16E-05,8.30E-08,0,1,0,0,0
0x00,149624050,11325,1620.010146,199.6,-0.000127,-0.000253,-0.001574,5.64E-05,-5.70E-06,2.40E-06,0,1,0,0,0
0x00,149624190,11465,1640.007097,202.025,-0.000143,-0.000268,-0.002128,5.31E-05,-7.30E-06,2.48E-06,0,1,0,0,0
0x00,149624329,11604,1660.01519,204.475,0.00035,-3.00E-06,-0.002678,5.16E-05,-1.20E-05,4.48E-07,0,1,0,0,0
0x00,149624469,11744,1680.012727,207.1,0.000352,8.10E-05,-0.00154,5.52E-05,-2.92E-06,3.74E-07,0,1,0,0,0
