Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,74796666,5,0.205274318,0,2.20E-05,0.000437,1.50E-05,-6.56E-07,-1.67E-05,1.91E-06,0,1,0,0,0
0x00,74796805,144,20.01483254,0.725,9.00E-06,0.00044,-0.002265,-3.60E-06,-1.83E-05,2.32E-06,0,1,0,0,0
0x00,74796945,284,40.01412287,2.525,0.000544,-0.000264,-0.002911,2.02E-06,-1.66E-06,2.79E-06,0,1,0,0,0
0x00,74797085,424,60.01399971,4.875,0.000431,0.000325,-0.00276,-1.37E-05,-1.42E-07,4.91E-06,0,1,0,0,0
0x00,74797224,563,80.00830481,7.35,-7.20E-05,-1.90E-05,-0.002789,-1.27E-05,-2.64E-06,4.67E-07,0,1,0,0,0
0x00,74797364,703,100.0140466,9.8,-0.000592,0.000617,-0.002728,-1.87E-05,-2.68E-05,-3.00E-09,0,1,0,0,0
0x00,74797504,843,120.0060057,12.175,-0.000414,-0.000504,-0.002958,3.52E-06,-2.36E-05,2.28E-06,0,1,0,0,0
0x00,74797644,983,140.0055893,14.55,0.000139,-0.000645,-0.003021,1.25E-05,-1.09E-05,4.75E-06,0,1,0,0,0
0x00,74797783,1122,160.0072257,17.2,8.80E-05,-0.000626,-0.00182,6.06E-06,-6.58E-06,4.57E-06,0,1,0,0,0
0x00,74797923,1262,180.0109147,19.525,-0.001012,0.000305,-0.002253,-7.82E-06,-2.85E-05,1.97E-06,0,1,0,0,0
0x00,74798063,1402,200.0049266,22.075,-0.000953,0.00041,-0.000606,5.53E-06,-1.84E-05,1.83E-06,0,1,0,0,0
0x00,74798203,1542,220.0053899,24.7,-0.000354,0.000149,-0.001282,1.70E-05,-1.90E-05,4.23E-06,0,1,0,0,0
0x00,74798343,1682,240.0040938,27.15,-0.000928,0.0004,-0.001207,8.74E-06,-2.06E-05,1.92E-06,0,1,0,0,0
0x00,74798482,1821,260.0069031,29.525,-0.000477,0.00068,-0.001115,-2.35E-06,-2.29E-05,6.26E-06,0,1,0,0,0
0x00,74798622,1961,280.0108854,32.1,-0.001068,0.000916,-0.001594,-1.38E-05,-2.60E-05,4.03E-06,0,1,0,0,0
0x00,74798762,2101,300.013988,34.65,4.10E-05,0.000471,-0.001156,2.90E-06,-1.51E-05,2.17E-06,0,1,0,0,0
0x00,74798902,2241,320.0009619,37.05,0.000177,-0.000448,-0.001955,2.97E-05,8.56E-06,-1.60E-06,0,1,0,0,0
0x00,74799042,2381,340.0149146,39.525,-0.000401,0.000166,-0.002403,1.39E-05,-1.66E-05,-2.01E-06,0,1,0,0,0
0x00,74799181,2520,360.0010088,42.2,-0.000832,-0.000185,-0.001316,1.81E-05,-2.18E-05,6.26E-06,0,1,0,0,0
0x00,74799321,2660,380.0134953,44.575,-0.000896,0.000348,-0.001236,1.16E-05,-2.65E-05,1.85E-06,0,1,0,0,0
0x00,74799461,2800,400.0133722,47,-0.000938,0.000807,-0.0023,1.58E-06,-4.05E-05,3.98E-06,0,1,0,0,0
0x00,74799601,2940,420.0044515,49.75,0.00024,-0.000554,-0.002015,3.54E-05,-3.22E-06,-1.75E-06,0,1,0,0,0
0x00,74799741,3080,440.0011026,52.05,0.000223,-0.000549,-0.001974,2.90E-05,-2.94E-06,4.71E-06,0,1,0,0,0
0x00,74799880,3219,460.0027389,54.55,-0.000499,0.000708,-0.002241,-5.25E-06,-2.07E-05,6.50E-06,0,1,0,0,0
0x00,74800020,3359,480.013466,57.125,-0.000499,0.000688,-0.002836,-2.15E-06,-2.26E-05,1.18E-07,0,1,0,0,0
0x00,74800160,3499,500.0086508,59.675,0.000138,-0.000134,-0.001861,1.54E-05,-1.82E-05,1.17E-07,0,1,0,0,0
0x00,74800297,3636,520.1029539,62.1,-0.0008,-0.000237,-0.001346,2.09E-05,-2.77E-05,6.18E-06,0,1,0,0,0
0x00,74800440,3779,540.0095775,64.5,-0.000787,-0.000854,-0.001959,2.05E-05,-2.97E-05,4.10E-06,0,1,0,0,0
0x00,74800580,3919,560.0296885,67.175,-0.000232,-0.000931,-0.001478,3.62E-05,-9.73E-06,1.15E-07,0,1,0,0,0
0x00,74800713,4052,581.3090109,69.425,-0.000258,-0.001004,-0.002016,2.93E-05,-1.67E-05,9.90E-08,0,1,0,0,0
0x00,74800859,4198,600.0130203,72.05,-0.000447,0.000544,-0.002284,-3.12E-06,-3.78E-05,6.26E-06,0,1,0,0,0
0x00,74800999,4338,620.0026334,74.675,0.00014,0.000415,-0.001832,1.54E-05,-2.37E-05,2.20E-06,0,1,0,0,0
0x00,74801139,4478,640.0039765,77.15,0.000277,-0.00063,-0.000878,3.48E-05,-1.10E-05,4.39E-06,0,1,0,0,0
0x00,74801278,4617,660.0088385,79.525,0.000139,-5.10E-05,-0.000723,1.90E-05,-9.17E-06,4.30E-08,0,1,0,0,0
0x00,74801418,4757,680.0028504,82.05,-0.000395,0.000608,-0.002346,6.94E-06,-3.31E-05,6.36E-06,0,1,0,0,0
0x00,74801558,4897,700.0115247,84.625,-0.000276,-0.00049,-0.000816,2.58E-05,-2.37E-05,1.92E-06,0,1,0,0,0
0x00,74801698,5037,720.0099353,87.05,-0.000199,-0.000434,-0.001479,3.91E-05,-2.11E-05,2.12E-06,0,1,0,0,0
0x00,74801838,5177,740.0024809,89.55,-0.000763,-0.000333,-0.000805,2.35E-05,-3.73E-05,5.94E-06,0,1,0,0,0
0x00,74801977,5316,760.0020645,92.225,-0.000665,-0.000854,-0.000371,3.95E-05,-3.14E-05,3.81E-06,0,1,0,0,0
0x00,74802117,5456,780.0045805,94.6,-0.001234,-0.00073,-0.000864,2.73E-05,-4.57E-05,1.42E-06,0,1,0,0,0
0x00,74802257,5596,800.0024046,97,-0.000631,-0.001354,-0.001017,4.63E-05,-2.27E-05,1.92E-06,0,1,0,0,0
0x00,74802397,5736,820.001695,99.725,-0.000312,0.000155,-0.001328,2.34E-05,-1.96E-05,4.24E-06,0,1,0,0,0
0x00,74802537,5876,840.0103693,102.075,5.20E-05,0.000529,-0.001173,6.50E-06,-9.81E-06,2.26E-06,0,1,0,0,0
0x00,74802676,6015,860.0029149,104.575,0.000593,-0.000218,-0.001247,1.18E-05,3.12E-06,2.56E-06,0,1,0,0,0
0x00,74802816,6155,880.0013255,107.125,-0.000621,0.001302,-0.001531,-1.78E-05,-1.73E-05,2.08E-06,0,1,0,0,0
0x00,74802956,6295,900.0014956,109.7,-0.000952,0.000959,-0.000577,5.61E-06,-2.39E-05,3.91E-06,0,1,0,0,0
0x00,74803094,6433,920.5295139,112.175,-0.000787,-0.000343,-0.0008,2.34E-05,-3.70E-05,-5.36E-07,0,1,0,0,0
0x00,74803236,6575,940.012686,114.5,-0.001182,-0.000665,-0.000926,3.74E-05,-4.10E-05,1.52E-06,0,1,0,0,0
0x00,74803375,6714,960.0072843,117.2,-0.001552,-0.001462,-0.000542,5.82E-05,-3.24E-05,1.52E-06,0,1,0,0,0
0x00,74803515,6854,980.0089206,119.525,-0.001561,-0.000972,-0.000497,5.47E-05,-4.33E-05,3.51E-06,0,1,0,0,0
0x00,74803655,6994,1000.012903,122,-0.001654,-0.001042,-0.000389,3.82E-05,-4.75E-05,3.39E-06,0,1,0,0,0
0x00,74803795,7134,1020.016006,124.675,-0.001798,4.60E-05,-0.001914,1.92E-05,-5.65E-05,1.36E-06,0,1,0,0,0
0x00,74803935,7274,1040.008551,127.15,-0.001228,-7.90E-05,-0.001422,3.14E-05,-4.22E-05,3.75E-06,0,1,0,0,0
0x00,74804074,7413,1060.009014,129.5,-0.00022,-0.000323,-0.001465,3.99E-05,-9.91E-06,2.28E-06,0,1,0,0,0
0x00,74804214,7553,1080.009771,132.1,0.000173,0.000143,-0.002497,3.01E-05,6.79E-06,6.47E-07,0,1,0,0,0
