Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,111972894,2,0.020820638,0,-7.00E-06,4.30E-05,-0.000571,3.47E-07,3.73E-06,1.66E-07,0,1,0,0,0
0x00,111973034,142,20.00658049,0.5,5.10E-05,-0.00055,-0.002956,6.64E-06,1.17E-06,-1.57E-06,0,1,0,0,0
0x00,111973174,282,40.01404073,2.35,7.00E-05,-0.000516,-0.004127,1.02E-05,2.75E-06,-1.31E-06,0,1,0,0,0
0x00,111973331,439,62.80618801,5.125,-0.000528,0.000294,-0.003422,-1.14E-06,-2.14E-06,-1.63E-06,0,1,0,0,0
0x00,111973453,561,80.00667433,7.35,-0.000417,-0.000825,-0.003006,1.14E-05,3.72E-06,5.55E-07,0,1,0,0,0
0x00,111973593,701,100.0026979,9.75,-6.00E-06,-0.000488,-0.002326,5.72E-07,9.22E-06,-1.58E-06,0,1,0,0,0
0x00,111973733,841,120.0098649,12.125,-8.10E-05,0.000471,-0.002744,-1.62E-05,-1.35E-05,2.45E-06,0,1,0,0,0
0x00,111973872,980,140.0055952,14.525,-1.00E-06,-0.000614,-0.002894,-3.42E-06,-3.59E-06,-1.67E-06,0,1,0,0,0
0x00,111974012,1120,160.0089499,17.15,7.40E-05,-0.000577,-0.001831,9.55E-06,-9.68E-07,-1.81E-06,0,1,0,0,0
0x00,111974152,1260,180.0143574,19.475,-0.001004,-0.000185,-0.002299,-4.31E-06,-1.77E-05,-2.00E-08,0,1,0,0,0
0x00,111974292,1400,200.003343,21.975,-0.000956,-0.000222,-0.001774,1.81E-06,-2.20E-05,-1.71E-07,0,1,0,0,0
0x00,111974431,1539,220.0043518,24.65,-0.000352,-0.001075,-0.001908,1.28E-05,-2.09E-05,-2.10E-08,0,1,0,0,0
0x00,111974571,1679,240.0077066,27.1,-0.000788,-0.001403,-0.001988,2.04E-05,-2.42E-05,2.02E-06,0,1,0,0,0
0x00,111974711,1819,260.0049031,29.475,-0.000822,-0.000695,-0.001957,2.47E-05,-1.29E-05,-2.11E-06,0,1,0,0,0
0x00,111974851,1959,280.0070849,32.05,-0.000932,-0.00078,-0.002403,4.93E-06,-1.87E-05,-2.16E-06,0,1,0,0,0
0x00,111974990,2098,300.0010557,34.575,-0.000927,-0.000804,-0.001237,1.48E-06,-2.05E-05,4.06E-06,0,1,0,0,0
0x00,111975130,2238,320.0041172,37,-0.000937,-0.000654,-0.001835,8.92E-06,-5.86E-06,-2.07E-06,0,1,0,0,0
0x00,111975270,2378,340.0115774,39.475,-0.00088,-0.000716,-0.002465,1.50E-05,-1.39E-05,-2.05E-06,0,1,0,0,0
0x00,111975410,2518,360.0119997,42.15,-0.001327,-0.001102,-0.002529,1.90E-05,-2.26E-05,-9.90E-08,0,1,0,0,0
0x00,111975549,2657,380.0021583,44.525,-0.001336,-0.000612,-0.002484,1.55E-05,-3.34E-05,1.89E-06,0,1,0,0,0
0x00,111975689,2797,400.0011143,46.925,-0.001305,-0.00113,-0.001404,2.19E-05,-2.47E-05,-3.41E-07,0,1,0,0,0
0x00,111975829,2937,420.0103341,49.7,-0.001342,-0.001034,-0.001945,1.94E-05,-1.51E-05,-9.80E-08,0,1,0,0,0
0x00,111975969,3077,440.0148618,51.975,-0.000261,-0.001325,-0.002064,3.72E-05,1.07E-05,-1.63E-06,0,1,0,0,0
0x00,111976108,3216,460.0035542,54.5,0.000205,-0.001579,-0.001447,2.93E-05,1.55E-05,5.55E-07,0,1,0,0,0
0x00,111976248,3356,480.001044,57.075,3.40E-05,-3.50E-05,-0.001756,3.17E-06,-5.90E-06,2.55E-07,0,1,0,0,0
0x00,111976388,3496,500.008211,59.6,1.70E-05,-0.000515,-0.001201,3.48E-06,7.08E-06,-1.82E-06,0,1,0,0,0
0x00,111976528,3636,520.0080467,62.05,7.40E-05,-0.000577,-0.001831,9.55E-06,-9.68E-07,-1.81E-06,0,1,0,0,0
0x00,111976667,3775,540.0043635,64.475,0.000167,-0.000507,-0.001939,2.61E-05,3.23E-06,-1.69E-06,0,1,0,0,0
0x00,111976807,3915,560.0012668,67.1,0.000294,-0.00161,-0.000969,4.18E-05,1.07E-05,4.18E-07,0,1,0,0,0
0x00,111976947,4055,580.0142988,69.45,-0.00072,-0.001323,-0.001496,3.37E-05,-1.78E-05,2.05E-06,0,1,0,0,0
0x00,111977087,4195,600.0070966,71.975,-0.001345,-0.000587,-0.001329,1.55E-05,-2.96E-05,1.72E-06,0,1,0,0,0
0x00,111977226,4334,620.0122109,74.625,-0.000252,-0.001048,-0.001445,2.90E-05,-2.04E-05,-6.70E-08,0,1,0,0,0
0x00,111977366,4474,640.0073547,77.1,-0.000668,-0.001258,-0.001558,4.38E-05,-1.31E-05,2.16E-06,0,1,0,0,0
0x00,111977506,4614,660.0124689,79.45,-0.000313,-0.000394,-0.001357,2.33E-05,-1.41E-05,2.16E-06,0,1,0,0,0
0x00,111977652,4760,680.9471807,82.175,-0.000863,-0.000152,-0.001882,1.83E-05,-1.78E-05,-5.10E-08,0,1,0,0,0
0x00,111977786,4894,700.0027565,84.55,-0.000364,-0.000375,-0.000156,1.69E-05,-9.80E-06,1.98E-06,0,1,0,0,0
0x00,111977925,5033,720.0052316,87,0.000173,-0.00055,-0.001368,2.57E-05,-4.99E-07,-1.85E-06,0,1,0,0,0
0x00,111978065,5173,740.012985,89.475,-0.000248,-0.001411,-0.000923,3.65E-05,3.25E-06,-1.96E-06,0,1,0,0,0
0x00,111978205,5313,760.0107681,92.175,-0.000836,-7.80E-05,-0.001344,2.52E-05,-1.09E-05,-3.50E-08,0,1,0,0,0
0x00,111978345,5453,780.0009267,94.525,-0.001368,-2.90E-05,-0.0007,1.24E-05,-3.30E-05,3.71E-06,0,1,0,0,0
0x00,111978484,5592,800.0034017,96.95,-0.000647,-0.001369,-0.001571,4.30E-05,-2.43E-05,1.99E-06,0,1,0,0,0
0x00,111978624,5732,820.0079294,99.675,-0.00058,-0.001373,-0.002218,5.27E-05,-2.70E-05,2.10E-06,0,1,0,0,0
0x00,111978764,5872,840.0060057,102,-0.00119,-0.001171,-0.001526,3.77E-05,-3.17E-05,-3.87E-07,0,1,0,0,0
0x00,111978904,6012,860.0093605,104.475,-0.000268,-0.001063,-0.002,2.57E-05,-2.20E-05,8.00E-09,0,1,0,0,0
0x00,111979043,6151,880.0083165,107.1,-0.000847,-0.00022,-0.002466,1.79E-05,-2.53E-05,-5.20E-08,0,1,0,0,0
0x00,111979183,6291,900.0043401,109.625,-0.000325,-0.001001,-0.00137,1.97E-05,-1.39E-05,-6.00E-09,0,1,0,0,0
0x00,111979323,6431,920.0100408,112.025,-0.000848,-0.000685,-0.001356,2.15E-05,-1.07E-05,-2.20E-06,0,1,0,0,0
0x00,111979463,6571,940.0013724,114.45,-0.000781,-0.000689,-0.002003,3.12E-05,-1.34E-05,-2.10E-06,0,1,0,0,0
0x00,111979613,6721,961.5196485,117.3,-0.000754,-0.000615,-0.001465,3.80E-05,-6.51E-06,-2.08E-06,0,1,0,0,0
0x00,111979742,6850,980.0104279,119.45,-0.001238,-0.001133,-0.00205,3.16E-05,-2.74E-05,-2.36E-07,0,1,0,0,0
0x00,111979882,6990,1000.005278,121.975,-0.0017,-0.001452,-0.00153,3.59E-05,-2.86E-05,1.72E-06,0,1,0,0,0
0x00,111980022,7130,1020.011272,124.6,-0.002165,-0.001198,-0.002147,4.39E-05,-3.34E-05,-4.65E-07,0,1,0,0,0
0x00,111980161,7269,1040.012574,127.075,-0.002065,-0.002375,-0.001714,5.28E-05,-3.29E-05,1.63E-06,0,1,0,0,0
0x00,111980301,7409,1060.002733,129.475,-0.001618,-0.001988,-0.001651,4.88E-05,-2.42E-05,-3.29E-07,0,1,0,0,0
0x00,111980441,7549,1080.007261,132.05,-0.00167,-0.001359,-0.002717,4.31E-05,-2.17E-05,2.07E-06,0,1,0,0,0
0x00,111980581,7689,1100.010616,134.575,-0.001779,-0.000851,-0.000866,2.98E-05,-2.58E-05,-2.69E-06,0,1,0,0,0
