Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,143785620,3,0.019354441,0,-1.60E-05,6.80E-05,0.000584,3.89E-07,7.48E-06,0,0,1,0,0,0
0x00,143785760,143,20.00134895,0.5,0.000495,-0.000182,-0.001167,2.34E-06,9.86E-06,-3.85E-06,0,1,0,0,0
0x00,143785900,283,40.01032237,2.4,0.00051,-0.00025,-0.001751,1.95E-06,2.38E-06,-3.85E-06,0,1,0,0,0
0x00,143786039,422,60.01167131,4.875,0.001089,-0.000399,-0.002414,1.41E-05,1.30E-05,-1.29E-06,0,1,0,0,0
0x00,143786179,562,80.00891477,7.375,0.001014,0.000178,-0.000583,4.57E-06,1.39E-05,5.16E-07,0,1,0,0,0
0x00,143786319,702,100.003519,9.625,0.000382,0.000408,-0.001016,-1.34E-05,1.14E-05,-1.73E-06,0,1,0,0,0
0x00,143786459,842,120.0054544,12.05,0.001549,-1.60E-05,-7.00E-05,1.31E-05,2.33E-05,-3.65E-06,0,1,0,0,0
0x00,143786598,981,140.0038709,14.675,0.000518,-0.00021,-4.10E-05,5.25E-06,7.72E-06,-4.09E-06,0,1,0,0,0
0x00,143786738,1121,160.0096186,17.1,8.60E-05,-0.000664,-0.000689,8.85E-06,-8.43E-06,-2.14E-06,0,1,0,0,0
0x00,143786878,1261,180.0059823,19.475,0.000198,-0.001025,-0.000859,3.25E-05,1.19E-05,-3.92E-06,0,1,0,0,0
0x00,143787018,1401,200.0014662,22.125,0.0001,-0.000504,-0.001293,1.64E-05,5.95E-06,-1.79E-06,0,1,0,0,0
0x00,143787158,1541,220.0039882,24.6,0.000474,-0.000279,-0.000539,-7.96E-06,1.08E-06,2.35E-06,0,1,0,0,0
0x00,143787297,1680,240.0135481,27.025,0.000456,0.000444,4.70E-05,-3.95E-07,1.40E-05,-1.86E-06,0,1,0,0,0
0x00,143787437,1820,260.0134308,29.5,0.000566,-0.000757,-0.000676,8.48E-06,1.08E-05,3.92E-07,0,1,0,0,0
0x00,143787577,1960,280.0048093,32.15,7.10E-05,-0.000596,-0.000105,9.24E-06,-9.53E-07,-2.14E-06,0,1,0,0,0
0x00,143787717,2100,300.0038122,34.525,-0.000913,-0.000133,-0.000681,1.19E-05,-1.35E-05,-2.31E-07,0,1,0,0,0
0x00,143787856,2239,320.0107329,36.925,-0.000857,-0.00066,-0.000201,2.15E-05,-6.97E-06,-2.37E-06,0,1,0,0,0
0x00,143787996,2379,340.0114954,39.7,-0.000805,-0.000596,-0.000264,3.16E-05,-2.20E-06,-2.26E-06,0,1,0,0,0
0x00,143788136,2519,360.0107916,41.975,-0.000326,-0.000773,-0.001389,2.76E-05,7.93E-06,3.44E-07,0,1,0,0,0
0x00,143788276,2659,380.005689,44.5,0.000563,-0.000102,-0.000674,1.57E-05,1.62E-05,-3.82E-06,0,1,0,0,0
0x00,143788416,2799,400.0246329,47.1,0.000434,0.000472,-0.001078,-3.30E-06,1.61E-05,-1.62E-06,0,1,0,0,0
0x00,143788555,2938,420.0113194,49.6,0.001503,0.00057,-0.000565,7.04E-06,2.21E-05,-1.42E-06,0,1,0,0,0
0x00,143788695,3078,440.0038709,52.05,0.001046,0.000125,-0.000613,7.43E-06,8.06E-06,4.39E-07,0,1,0,0,0
0x00,143788835,3218,460.0081523,54.525,0.000549,0.000431,-0.0012,1.25E-05,9.12E-06,-1.67E-06,0,1,0,0,0
0x00,143788974,3357,480.0036363,57.1,0.000669,-0.000118,0.000359,3.15E-05,1.30E-05,-4.03E-06,0,1,0,0,0
0x00,143789114,3497,500.014076,59.5,0.000118,6.10E-05,-0.000709,1.97E-05,2.05E-06,2.10E-07,0,1,0,0,0
0x00,143789254,3637,520.0016422,62,7.30E-05,-4.70E-05,-7.60E-05,9.32E-06,-6.45E-06,-6.20E-08,0,1,0,0,0
0x00,143789394,3777,540.0129616,64.625,0.00015,8.00E-06,-0.000739,2.26E-05,-3.84E-06,1.34E-07,0,1,0,0,0
0x00,143789534,3917,560.0052198,67.075,0.000231,-0.000529,-0.00086,3.54E-05,5.32E-07,-1.91E-06,0,1,0,0,0
0x00,143789673,4056,580.0097945,69.45,0.0002,-0.000476,-0.00083,3.26E-05,6.42E-06,-1.84E-06,0,1,0,0,0
0x00,143789813,4196,600.0020527,72.1,8.50E-05,3.00E-05,-0.001818,1.32E-05,-1.14E-06,3.61E-07,0,1,0,0,0
0x00,143789953,4336,620.0098532,74.575,0.000576,-0.000188,0.000467,1.50E-05,8.75E-06,-4.15E-06,0,1,0,0,0
0x00,143790093,4476,640.0085629,77.025,0.000628,-0.000124,0.000405,2.50E-05,1.35E-05,-4.05E-06,0,1,0,0,0
0x00,143790232,4615,660.0131376,79.5,0.000226,-0.000402,-0.000292,3.94E-05,1.33E-05,-1.82E-06,0,1,0,0,0
0x00,143790372,4755,680.006862,82.125,-0.000788,-0.00058,0.000291,3.48E-05,-6.11E-07,-2.34E-06,0,1,0,0,0
0x00,143790512,4895,700.0123165,84.5,-0.000777,-0.00075,0.000294,3.05E-05,-1.72E-05,-2.60E-06,0,1,0,0,0
0x00,143790652,5035,720.0022287,86.95,-0.000725,-0.000686,0.000231,4.06E-05,-1.24E-05,-2.49E-06,0,1,0,0,0
0x00,143790791,5174,740.0038709,89.7,-0.00124,-0.000375,-0.000315,3.93E-05,-1.10E-05,1.86E-06,0,1,0,0,0
0x00,143790931,5314,760.0157768,92,-0.000215,-0.000915,-0.000923,3.94E-05,-8.14E-06,4.00E-08,0,1,0,0,0
0x00,143791071,5454,780.0109675,94.5,-0.000278,-0.00081,-0.000864,3.37E-05,3.64E-06,1.92E-07,0,1,0,0,0
0x00,143791211,5594,800.014076,97.1,-0.000349,-0.000234,-0.001355,2.76E-05,2.72E-06,-4.05E-06,0,1,0,0,0
0x00,143791350,5733,820.0010557,99.6,0.000175,-0.000467,-0.00023,2.94E-05,8.58E-06,-1.93E-06,0,1,0,0,0
0x00,143791490,5873,840.0041641,102.05,0.00021,-0.000418,-0.000846,3.62E-05,1.17E-05,-1.75E-06,0,1,0,0,0
0x00,143791630,6013,860.0060996,104.5,0.000158,-0.000482,-0.000784,2.61E-05,6.98E-06,-1.85E-06,0,1,0,0,0
0x00,143791770,6153,880.0077418,107.15,0.000175,-0.000467,-0.00023,2.94E-05,8.58E-06,-1.93E-06,0,1,0,0,0
0x00,143791909,6292,900.007038,109.475,-0.000799,5.50E-05,-0.000822,3.56E-05,1.36E-06,7.20E-08,0,1,0,0,0
0x00,143792049,6432,920.0010557,111.975,-0.000757,-0.000633,0.000261,3.77E-05,-6.50E-06,-2.42E-06,0,1,0,0,0
0x00,143792189,6572,940.0065101,114.6,-0.001193,-0.000961,0.000181,4.53E-05,-9.84E-06,-3.70E-07,0,1,0,0,0
0x00,143792329,6712,960.018416,117.075,-0.000675,-0.000705,-0.00097,4.70E-05,-1.67E-05,-2.31E-06,0,1,0,0,0
0x00,143792469,6852,980.0206447,119.475,-0.000164,-0.000851,-0.000986,4.95E-05,-3.38E-06,1.45E-07,0,1,0,0,0
0x00,143792608,6991,1000.012023,122.1,0.000235,-0.000427,-0.001447,3.94E-05,9.59E-06,-1.66E-06,0,1,0,0,0
0x00,143792748,7131,1020.002815,124.55,0.000143,-0.000414,-0.0002,2.65E-05,1.45E-05,-1.85E-06,0,1,0,0,0
0x00,143792888,7271,1040.007976,127,0.000139,0.000178,-0.000742,2.69E-05,1.27E-05,3.92E-07,0,1,0,0,0
0x00,143793028,7411,1060.011378,129.5,-0.000291,-0.000213,-0.000846,3.73E-05,3.75E-06,-4.11E-06,0,1,0,0,0
0x00,143793167,7550,1080.008035,132.125,-0.000536,-0.0012,1.40E-05,6.64E-05,-9.42E-06,1.96E-06,0,1,0,0,0
0x00,143793312,7695,1100.725792,134.6,-0.001628,-0.00076,-0.000465,5.61E-05,-2.06E-05,-2.63E-06,0,1,0,0,0
0x00,143793447,7830,1120.010733,136.925,-0.001699,-0.000164,-0.000361,4.68E-05,-1.96E-05,-4.91E-07,0,1,0,0,0
0x00,143793587,7970,1140.002405,139.7,-0.00068,-0.000578,-0.000402,5.10E-05,-3.89E-06,-2.22E-06,0,1,0,0,0
0x00,143793726,8109,1160.009325,142,0.00035,-0.000933,-0.000459,5.87E-05,1.72E-05,-3.86E-06,0,1,0,0,0
0x00,143793866,8249,1180.012141,144.5,0.000247,-0.000285,-0.000324,4.66E-05,2.40E-05,-1.64E-06,0,1,0,0,0
0x00,143794006,8389,1200.004692,147.075,0.000617,0.000511,-0.000708,2.58E-05,1.55E-05,-1.64E-06,0,1,0,0,0
0x00,143794146,8529,1220.004868,149.6,0.001176,0.000328,-0.000199,3.44E-05,2.45E-05,6.66E-07,0,1,0,0,0
0x00,143794285,8668,1240.010909,152.025,0.00119,-0.000289,-0.000812,3.39E-05,2.25E-05,-1.41E-06,0,1,0,0,0
0x00,143794425,8808,1260.011671,154.475,0.001279,-0.00032,-0.000333,4.65E-05,1.77E-05,-1.55E-06,0,1,0,0,0
0x00,143794565,8948,1280.012727,157.125,0.00031,-0.00039,-0.000384,5.23E-05,1.22E-05,-1.79E-06,0,1,0,0,0
0x00,143794705,9088,1300.01261,159.5,-0.000283,0.000292,-0.000247,3.70E-05,-5.48E-06,-2.20E-06,0,1,0,0,0
0x00,143794844,9227,1320.004281,161.975,-0.000735,3.30E-05,0.000257,4.50E-05,-1.35E-06,-1.55E-07,0,1,0,0,0
0x00,143794984,9367,1340.005924,164.625,-0.00067,-0.000519,-0.000418,5.46E-05,1.44E-06,-2.13E-06,0,1,0,0,0
0x00,143795124,9507,1360.012551,167.075,-0.000607,-0.000625,-0.000477,6.03E-05,-1.03E-05,-2.28E-06,0,1,0,0,0
0x00,143795264,9647,1380.002463,169.45,-0.000674,-0.000621,0.000169,5.06E-05,-7.62E-06,-2.39E-06,0,1,0,0,0
