Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,11373075,2,0.021407135,0,0,0,0,0,0,0,0,1,0,0,0
0x00,11373215,142,20.00628725,0.5,-6.60E-05,0.001225,-0.00105,-2.11E-06,2.64E-06,-1.91E-06,0,1,0,0,0
0x00,11373355,282,40.00876226,2.5,-1.40E-05,3.00E-06,-0.002281,-2.95E-06,-1.61E-06,4.06E-07,0,1,0,0,0
0x00,11373495,422,60.01475626,4.9,3.70E-05,0.000597,-0.000588,6.89E-06,-2.33E-06,2.26E-06,0,1,0,0,0
0x00,11373634,561,80.00110261,7.225,-0.000538,0.000849,-0.000513,-1.33E-06,-3.87E-06,-4.60E-08,0,1,0,0,0
0x00,11373774,701,100.0065101,9.625,-0.000532,0.000805,5.80E-05,-1.67E-06,-7.61E-06,-2.12E-07,0,1,0,0,0
0x00,11373918,845,120.5488555,12.275,4.10E-05,5.00E-06,-4.60E-05,6.46E-06,-5.63E-07,1.40E-08,0,1,0,0,0
0x00,11374054,981,140.0094074,14.6,0.000433,0.001002,0.000676,-3.52E-06,1.07E-05,1.24E-07,0,1,0,0,0
0x00,11374194,1121,160.0051377,16.975,0.00041,0.00103,-0.000449,-6.43E-06,1.28E-05,3.66E-07,0,1,0,0,0
0x00,11374334,1261,180.0228616,19.625,0.000394,0.001015,-0.001003,-9.68E-06,1.12E-05,4.41E-07,0,1,0,0,0
0x00,11374473,1400,200.0077418,22.075,-0.000135,0.001676,0.000213,-1.56E-05,-9.20E-06,-1.94E-07,0,1,0,0,0
0x00,11374613,1540,220.0046451,24.55,8.90E-05,-3.20E-05,0.000478,1.26E-05,-4.86E-06,-1.37E-07,0,1,0,0,0
0x00,11374753,1680,240.0150378,27.05,-0.000475,0.000278,0.000538,7.96E-06,-1.08E-06,-2.35E-06,0,1,0,0,0
0x00,11374893,1820,260.0119411,29.65,-0.000588,0.000868,0.000688,-7.75E-06,4.38E-07,-2.26E-07,0,1,0,0,0
0x00,11375033,1960,280.0003402,32,0.000473,0.00046,0.000601,2.86E-06,1.56E-05,-1.94E-06,0,1,0,0,0
0x00,11375172,2099,300.0025219,34.425,0.000345,0.001097,0.000741,-9.35E-06,2.27E-05,-6.20E-06,0,1,0,0,0
0x00,11375312,2239,320.001478,37.175,0.000878,0.00084,0.000711,-7.60E-06,2.48E-05,-3.91E-06,0,1,0,0,0
0x00,11375452,2379,340.0021935,39.475,-0.000133,0.000764,0.000707,-8.22E-06,1.99E-05,-4.17E-06,0,1,0,0,0
0x00,11375592,2519,360.0202107,41.975,-0.000127,0.001186,0.000168,-1.21E-05,1.63E-06,-2.18E-06,0,1,0,0,0
0x00,11375732,2659,380.0024516,44.575,-0.000511,0.000923,2.50E-05,5.52E-06,3.05E-06,-3.00E-08,0,1,0,0,0
0x00,11375872,2799,400.0122578,47.1,-0.000474,0.000827,0.000567,8.04E-06,-6.58E-06,-2.73E-07,0,1,0,0,0
0x00,11376012,2939,420.0115071,49.525,-0.000427,0.000241,0.001062,1.41E-05,-5.37E-06,-2.50E-06,0,1,0,0,0
0x00,11376151,3078,440.0125158,52,-0.000505,0.000879,0.000596,5.18E-06,-6.87E-07,-1.96E-07,0,1,0,0,0
0x00,11376291,3218,460.0012082,54.625,-0.000578,0.000926,0.000672,-4.15E-06,5.76E-06,-1.35E-07,0,1,0,0,0
0x00,11376431,3358,480.0051494,57,1.00E-05,5.80E-05,-1.70E-05,3.60E-06,5.33E-06,9.00E-08,0,1,0,0,0
0x00,11376571,3498,500.0111434,59.5,-4.10E-05,7.70E-05,0.001184,-2.82E-06,9.64E-06,-9.00E-08,0,1,0,0,0
0x00,11376711,3638,520.0018885,62.15,-8.50E-05,0.000726,0.001231,-2.11E-06,1.56E-05,-4.32E-06,0,1,0,0,0
0x00,11376851,3778,540.0169732,64.55,0.000431,0.000454,0.000647,-3.60E-06,1.62E-05,-1.95E-06,0,1,0,0,0
0x00,11376990,3917,560.0112373,66.925,-0.000142,0.001254,0.000752,-1.17E-05,9.11E-06,-2.18E-06,0,1,0,0,0
0x00,11377130,4057,580.0063811,69.625,-0.000106,0.001303,0.000135,-4.93E-06,1.23E-05,-2.00E-06,0,1,0,0,0
0x00,11377270,4197,600.0021114,72.05,5.90E-05,0.000104,0.001647,1.34E-05,1.01E-05,-1.35E-07,0,1,0,0,0
0x00,11377410,4337,620.0075189,74.525,-0.000482,0.000852,0.001722,8.08E-06,-2.83E-06,-4.38E-07,0,1,0,0,0
0x00,11377550,4477,640.0050087,77,-0.00049,0.000346,0.001122,8.34E-06,6.40E-06,-2.35E-06,0,1,0,0,0
0x00,11377695,4622,660.8256468,79.75,-6.90E-05,0.000742,0.001786,1.14E-06,1.72E-05,-4.39E-06,0,1,0,0,0
0x00,11377829,4756,680.009079,81.975,0.000248,0.001702,0.001446,-2.18E-05,2.58E-05,-4.15E-06,0,1,0,0,0
0x00,11377969,4896,700.0048093,84.375,-0.000154,0.000875,0.00072,-7.48E-06,3.11E-05,-4.00E-06,0,1,0,0,0
0x00,11378109,5036,720.0207737,87.175,-0.000133,0.000764,0.000707,-8.22E-06,1.99E-05,-4.17E-06,0,1,0,0,0
0x00,11378249,5176,740.0062403,89.5,-0.001144,0.000687,0.000702,-8.85E-06,1.50E-05,-4.43E-06,0,1,0,0,0
0x00,11378389,5316,760.0110613,92,-0.001053,0.001205,0.00121,3.81E-06,4.69E-06,-2.48E-06,0,1,0,0,0
0x00,11378528,5455,780.0255595,94.6,-0.000538,0.000383,0.000597,2.23E-06,1.07E-05,-2.20E-06,0,1,0,0,0
0x00,11378668,5595,800.0119059,97.1,-0.001078,0.001214,0.001811,6.00E-07,6.84E-06,-2.57E-06,0,1,0,0,0
0x00,11378808,5735,820.0076362,99.525,-0.00048,0.000405,0.001106,1.19E-05,1.17E-05,-2.26E-06,0,1,0,0,0
0x00,11378948,5875,840.0112842,102.025,-0.000544,0.000427,2.60E-05,2.58E-06,1.44E-05,-2.03E-06,0,1,0,0,0
0x00,11379088,6015,860.0096537,104.65,-0.000568,0.000985,0.000656,-5.47E-07,1.11E-05,-4.40E-08,0,1,0,0,0
0x00,11379228,6155,880.0015718,107.025,-0.000496,0.000389,0.000551,8.69E-06,1.01E-05,-2.18E-06,0,1,0,0,0
