Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,142676373,2,0.016715199,0,0,0,0,0,0,0,0,1,0,0,0
0x00,142676513,142,20.03038061,0.5,-5.00E-05,-4.70E-05,-0.001664,-9.75E-06,-4.78E-06,2.25E-07,0,1,0,0,0
0x00,142676652,281,40.00533713,2.4,0.000536,-0.000259,-0.002351,5.16E-06,2.23E-07,-3.76E-06,0,1,0,0,0
0x00,142676792,421,60.00873882,4.875,-4.50E-05,0.00052,-0.003361,-9.36E-06,-1.03E-05,2.64E-06,0,1,0,0,0
0x00,142676932,561,80.01360676,7.375,0.000461,0.000318,-0.000521,-4.38E-06,1.19E-06,-1.96E-06,0,1,0,0,0
0x00,142677072,701,100.0014662,9.625,-9.00E-05,0.000496,-0.001589,-1.61E-05,-9.72E-06,2.29E-06,0,1,0,0,0
0x00,142677211,840,120.0133722,12.05,-7.70E-05,0.00041,-0.000448,-1.68E-05,-1.72E-05,1.96E-06,0,1,0,0,0
0x00,142677351,980,140.0117886,14.675,-0.000497,7.80E-05,-0.000569,-2.88E-06,-2.08E-05,-2.46E-06,0,1,0,0,0
0x00,142677491,1120,160.0096186,17.1,-0.000892,-0.000224,-9.90E-05,8.07E-06,-2.28E-05,5.99E-06,0,1,0,0,0
0x00,142677631,1260,180.0106743,19.475,-0.000355,-0.0004,-0.001311,1.69E-05,-1.35E-05,2.15E-06,0,1,0,0,0
0x00,142677770,1399,200.0029325,22.125,-4.90E-05,0.000419,-0.002774,-1.33E-05,-1.94E-05,2.38E-06,0,1,0,0,0
0x00,142677910,1539,220.0119059,24.6,0.001036,6.60E-05,-0.000597,3.83E-06,2.74E-06,3.48E-07,0,1,0,0,0
0x00,142678050,1679,240.0053371,27.025,0.000978,4.50E-05,-0.001105,-5.88E-06,1.70E-06,4.09E-07,0,1,0,0,0
0x00,142678190,1819,260.0069793,29.5,0.000551,-0.000224,-0.001201,5.31E-06,3.68E-06,2.55E-06,0,1,0,0,0
0x00,142678329,1958,280.011554,32.125,0.000148,-0.000541,-0.000768,2.25E-05,1.66E-06,-1.94E-06,0,1,0,0,0
0x00,142678469,2098,300.0087975,34.5,-0.000882,-0.000186,-0.000711,1.48E-05,-1.94E-05,-3.07E-07,0,1,0,0,0
0x00,142678609,2238,320.0121992,36.925,-0.00087,-0.000355,-0.000708,1.04E-05,-3.59E-05,-5.65E-07,0,1,0,0,0
0x00,142678749,2378,340.0024046,39.675,-0.000812,-0.000844,-0.001359,1.73E-05,-2.75E-05,4.01E-06,0,1,0,0,0
0x00,142678889,2518,360.0213485,41.975,0.000133,-7.00E-06,-0.001293,1.93E-05,-5.44E-06,2.09E-07,0,1,0,0,0
0x00,142679028,2657,380.0112608,44.475,0.000424,0.000414,-0.001062,-6.90E-06,1.08E-05,-1.71E-06,0,1,0,0,0
0x00,142679168,2797,400.0017595,47.075,0.000361,0.000984,-0.002112,-1.62E-05,8.02E-06,5.92E-07,0,1,0,0,0
0x00,142679308,2937,420.0083869,49.6,0.001028,-0.000439,-0.001196,4.10E-06,1.20E-05,-1.56E-06,0,1,0,0,0
0x00,142679448,3077,440.0006451,52.025,0.000589,-0.00032,-0.00066,7.83E-06,-5.94E-06,2.30E-06,0,1,0,0,0
0x00,142679587,3216,460.0099118,54.475,-0.000996,0.000321,-0.001699,-4.57E-06,-2.69E-05,1.89E-06,0,1,0,0,0
0x00,142679727,3356,480.0051025,57.075,-0.000277,-0.001038,-0.000845,2.58E-05,-1.82E-05,-1.57E-07,0,1,0,0,0
0x00,142679867,3496,500.0090907,59.475,-0.000768,-0.000775,-0.000861,3.05E-05,-2.09E-05,-2.43E-06,0,1,0,0,0
0x00,142680007,3636,520.0016422,61.975,-0.000856,-0.000195,-0.001311,1.80E-05,-2.15E-05,-2.17E-07,0,1,0,0,0
0x00,142680146,3775,540.0153076,64.6,-0.000313,-0.000394,-0.001357,2.33E-05,-1.41E-05,2.16E-06,0,1,0,0,0
0x00,142680286,3915,560.0025806,67.05,-0.000407,-0.000464,-0.001249,6.81E-06,-1.83E-05,2.04E-06,0,1,0,0,0
0x00,142680426,4055,580.0118473,69.425,0.000164,-0.000525,-0.000213,2.58E-05,3.25E-06,-2.02E-06,0,1,0,0,0
0x00,142680566,4195,600.0090907,72.075,5.60E-05,-6.30E-05,-0.000631,6.07E-06,-8.04E-06,1.30E-08,0,1,0,0,0
0x00,142680706,4335,620.0101464,74.55,-0.000538,0.000849,-0.000513,-1.33E-06,-3.87E-06,-4.60E-08,0,1,0,0,0
0x00,142680845,4474,640.0147211,77,2.90E-05,9.20E-05,-0.001188,7.16E-06,6.90E-06,3.47E-07,0,1,0,0,0
0x00,142680985,4614,660.0148971,79.5,0.000142,-0.000498,-0.001339,2.29E-05,5.39E-06,-1.78E-06,0,1,0,0,0
0x00,142681125,4754,680.0036363,82.125,-0.000855,-0.000112,-0.000173,2.16E-05,-1.25E-05,-2.91E-07,0,1,0,0,0
0x00,142681265,4894,700.0096772,84.475,-0.001343,-3.80E-05,-0.0013,1.56E-05,-3.51E-05,3.80E-06,0,1,0,0,0
0x00,142681404,5033,720.0092667,86.925,-0.000672,-0.00136,-0.000971,3.98E-05,-2.21E-05,1.90E-06,0,1,0,0,0
0x00,142681544,5173,740.0164806,89.7,-0.000272,-0.000388,-0.001403,2.98E-05,-1.47E-05,2.18E-06,0,1,0,0,0
0x00,142681684,5313,760.0125511,91.975,8.10E-05,-7.20E-05,-0.001231,9.28E-06,-1.02E-05,1.03E-07,0,1,0,0,0
0x00,142681824,5453,780.0086215,94.475,0.001227,-0.000385,-0.000271,3.64E-05,1.29E-05,-1.66E-06,0,1,0,0,0
0x00,142681963,5592,800.0061582,97.1,6.00E-05,3.90E-05,-0.001218,1.00E-05,1.02E-06,2.71E-07,0,1,0,0,0
0x00,142682107,5736,820.5280244,99.65,8.30E-05,1.10E-05,-9.20E-05,1.29E-05,-1.13E-06,2.90E-08,0,1,0,0,0
0x00,142682243,5872,840.0135481,102.025,-0.000425,0.000259,-0.000663,1.44E-05,-5.39E-06,-2.17E-06,0,1,0,0,0
0x00,142682383,6012,860.0037536,104.5,-0.000329,-0.000326,-0.000773,2.37E-05,-6.63E-06,2.16E-06,0,1,0,0,0
0x00,142682522,6151,880.000997,107.125,-0.000237,-0.000804,-0.00091,4.02E-05,3.07E-06,2.07E-07,0,1,0,0,0
0x00,142682662,6291,900.0017595,109.475,-0.000305,-0.000373,-0.000243,2.97E-05,-1.06E-05,-4.46E-06,0,1,0,0,0
0x00,142682802,6431,920.0028152,111.975,-0.000853,0.000437,-0.000144,2.17E-05,-1.80E-05,1.79E-06,0,1,0,0,0
0x00,142682942,6571,940.0191198,114.625,-0.000803,0.000418,-0.001345,2.81E-05,-2.23E-05,1.97E-06,0,1,0,0,0
0x00,142683081,6710,960.0228148,117.075,-0.000278,0.000166,-0.000815,3.30E-05,-1.83E-05,-2.29E-06,0,1,0,0,0
0x00,142683221,6850,980.0238705,119.45,-0.000373,0.000324,-0.000726,2.44E-05,-6.23E-07,-2.06E-06,0,1,0,0,0
0x00,142683361,6990,1000.017595,122.1,-0.000545,0.000809,-0.002222,-4.62E-06,-9.21E-06,1.95E-07,0,1,0,0,0
0x00,142683501,7130,1020.002229,124.55,0.000613,0.000409,-0.000121,2.18E-05,6.42E-06,-1.90E-06,0,1,0,0,0
0x00,142683641,7270,1040.015014,127,0.000102,4.50E-05,-0.001264,1.65E-05,4.53E-07,2.85E-07,0,1,0,0,0
0x00,142683780,7409,1060.002874,129.5,-0.000343,0.000208,-0.001298,2.06E-05,-1.37E-05,4.32E-06,0,1,0,0,0
0x00,142683920,7549,1080.001584,132.125,-0.00126,-0.000492,-0.000282,3.21E-05,-2.17E-05,1.68E-06,0,1,0,0,0
0x00,142684060,7689,1100.015249,134.5,-0.001772,-0.000346,-0.000266,2.96E-05,-3.50E-05,-7.79E-07,0,1,0,0,0
0x00,142684200,7829,1120.004575,136.925,-0.001742,-0.000253,-0.001454,3.67E-05,-2.81E-05,-4.32E-07,0,1,0,0,0
0x00,142684339,7968,1140.00651,139.7,-0.000723,-0.000667,-0.001494,4.09E-05,-1.24E-05,-2.16E-06,0,1,0,0,0
0x00,142684479,8108,1160.003167,141.975,-0.000359,-0.000293,-0.001339,2.40E-05,-2.61E-06,-4.14E-06,0,1,0,0,0
0x00,142684619,8248,1180.003343,144.475,0.000127,-0.00043,-0.000754,2.32E-05,1.29E-05,-1.78E-06,0,1,0,0,0
0x00,142684759,8388,1200.004985,147.075,-0.000437,0.000346,-0.001805,1.51E-05,2.08E-06,-1.84E-06,0,1,0,0,0
0x00,142684899,8528,1220.008387,149.6,0.000191,1.40E-05,-0.000785,2.91E-05,-4.40E-06,1.48E-07,0,1,0,0,0
