Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,102865565,6,0.012609682,0,-0.001011,-7.70E-05,-5.00E-06,-6.25E-07,-4.89E-06,-2.59E-07,0,1,0,0,0
0x00,102865705,146,20.01215221,0.55,-0.001061,-0.000123,-0.001668,-1.04E-05,-9.67E-06,-3.30E-08,0,1,0,0,0
0x00,102865845,286,40.01843946,2.4,-0.001034,0.000416,-0.00224,-7.09E-06,-1.73E-05,2.13E-06,0,1,0,0,0
0x00,102865984,425,60.00302632,4.875,-0.000445,-0.000368,-0.00179,4.30E-06,-8.69E-06,2.29E-06,0,1,0,0,0
0x00,102866124,565,80.01459204,7.425,-0.000999,0,-0.001747,3.28E-06,4.20E-07,1.63E-07,0,1,0,0,0
0x00,102866264,705,100.0065101,9.8,-0.00046,-0.0003,-0.001206,4.69E-06,-1.21E-06,2.29E-06,0,1,0,0,0
0x00,102866403,844,120.0057594,12.175,-0.001068,0.000451,-0.000484,-1.03E-05,-1.14E-05,1.88E-06,0,1,0,0,0
0x00,102866550,991,140.9480956,14.725,-0.001122,0.000531,-0.00158,-1.60E-05,-3.39E-06,2.20E-06,0,1,0,0,0
0x00,102866683,1124,160.0142284,17.225,-0.000591,0.000236,-0.000479,-1.15E-05,-3.14E-06,-2.23E-06,0,1,0,0,0
0x00,102866823,1264,180.0146507,19.525,-2.30E-05,2.70E-05,-0.001126,-2.90E-06,2.14E-06,2.41E-07,0,1,0,0,0
0x00,102866963,1404,200.008035,22.05,-0.00047,-0.000359,-0.001189,1.09E-06,-6.53E-06,2.20E-06,0,1,0,0,0
0x00,102867102,1543,220.012856,24.7,-0.001558,-2.50E-05,-0.001641,-1.64E-05,-2.86E-05,3.89E-06,0,1,0,0,0
0x00,102867242,1683,240.0036011,27.175,-0.001433,-0.000472,-0.000669,6.58E-06,-1.57E-05,1.79E-06,0,1,0,0,0
0x00,102867382,1823,260.0072491,29.525,-0.000827,-0.000776,-0.000774,1.77E-05,-2.01E-05,4.01E-06,0,1,0,0,0
0x00,102867522,1963,280.0082579,32.15,-0.001433,-7.00E-06,-0.001779,3.02E-06,-3.03E-05,3.94E-06,0,1,0,0,0
0x00,102867661,2102,300.0133721,34.625,-0.001548,0.000564,9.80E-05,-1.30E-05,-2.88E-05,5.73E-06,0,1,0,0,0
0x00,102867801,2242,320.0135012,37.075,-0.000648,0.000763,-0.000959,-2.11E-05,-9.67E-06,-9.10E-08,0,1,0,0,0
0x00,102867941,2382,340.0142167,39.55,-0.000531,0.000275,-0.001697,-1.45E-06,-2.12E-06,-1.96E-06,0,1,0,0,0
0x00,102868081,2522,360.012293,42.225,-0.000366,-0.000924,-0.000185,1.68E-05,-4.30E-06,-9.50E-08,0,1,0,0,0
0x00,102868220,2661,380.0083165,44.575,-0.00137,-0.000578,-0.000728,1.23E-05,-2.75E-05,1.63E-06,0,1,0,0,0
0x00,102868360,2801,400.0040468,47,-0.002379,-0.000105,-0.000704,1.18E-05,-3.79E-05,3.45E-06,0,1,0,0,0
0x00,102868500,2941,420.0009501,49.775,-0.001791,-0.000973,-0.001393,1.95E-05,-3.83E-05,3.68E-06,0,1,0,0,0
0x00,102868640,3081,440.0057711,52.05,-0.001278,-0.001056,-0.000866,2.87E-05,-1.78E-05,-3.25E-07,0,1,0,0,0
0x00,102868779,3220,460.0094191,54.55,-0.00086,-0.001272,-0.000774,1.47E-05,-8.67E-06,2.01E-06,0,1,0,0,0
0x00,102868919,3360,480.0116009,57.15,-0.001028,0.000373,-0.001669,-7.43E-06,-2.11E-05,1.97E-06,0,1,0,0,0
0x00,102869059,3500,500.0140759,59.675,-0.001083,0.000984,-0.00101,-1.34E-05,-1.85E-05,4.03E-06,0,1,0,0,0
0x00,102869199,3640,520.0077535,62.1,-0.001047,0.000339,-0.000498,-1.10E-05,-2.26E-05,1.71E-06,0,1,0,0,0
0x00,102869346,3787,541.1383552,64.7,-0.000971,-0.000154,-0.00119,2.20E-06,-1.45E-05,-1.70E-07,0,1,0,0,0
0x00,102869478,3919,560.0062521,67.15,-0.000276,-0.000955,0.000294,2.94E-05,-9.16E-06,-2.31E-07,0,1,0,0,0
0x00,102869618,4059,580.0069676,69.525,-0.00132,-0.001062,-0.00082,2.23E-05,-1.72E-05,-3.40E-07,0,1,0,0,0
0x00,102869758,4199,600.0047506,72.05,-0.00137,-0.000578,-0.000728,1.23E-05,-2.75E-05,1.63E-06,0,1,0,0,0
0x00,102869898,4339,620.0218881,74.7,-0.001917,0.000213,-0.001224,7.38E-06,-3.67E-05,1.50E-06,0,1,0,0,0
0x00,102870037,4478,640.0140994,77.15,-0.001328,-0.000572,-0.000774,1.88E-05,-2.81E-05,1.65E-06,0,1,0,0,0
0x00,102870177,4618,660.0101229,79.525,-0.000865,-0.00017,-0.000156,1.80E-05,-1.78E-05,-3.82E-07,0,1,0,0,0
0x00,102870317,4758,680.012598,82.125,-0.000878,-8.40E-05,-0.001298,1.87E-05,-1.03E-05,-5.00E-08,0,1,0,0,0
0x00,102870457,4898,700.0095012,84.6,-0.000402,-0.000279,-0.000697,1.44E-05,-1.75E-07,2.23E-06,0,1,0,0,0
0x00,102870596,5037,720.008164,87.075,0.00014,-0.001026,-0.000772,1.97E-05,1.28E-05,2.53E-06,0,1,0,0,0
0x00,102870736,5177,740.0074133,89.55,-0.000403,-0.000828,-0.000726,1.43E-05,5.32E-06,1.48E-07,0,1,0,0,0
0x00,102870876,5317,760.0125276,92.225,-0.00038,-0.00039,-0.000711,1.37E-05,-1.14E-05,2.06E-06,0,1,0,0,0
0x00,102871016,5457,780.0111904,94.575,-0.00137,-0.000578,-0.000728,1.23E-05,-2.75E-05,1.63E-06,0,1,0,0,0
0x00,102871155,5596,800.0078004,97,-0.00179,-0.00089,-0.000254,2.31E-05,-2.92E-05,3.60E-06,0,1,0,0,0
