Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,145701144,2,0.014662456,0,1.40E-05,-0.000534,0.000525,3.17E-06,7.09E-06,-2.15E-06,0,1,0,0,0
0x00,145701284,142,20.01102617,0.5,0.0005,-0.000308,-0.001735,-1.65E-06,-2.95E-06,-3.94E-06,0,1,0,0,0
0x00,145701424,282,40.01208186,2.4,2.60E-05,-0.00054,-0.002356,3.43E-06,3.33E-06,-1.66E-06,0,1,0,0,0
0x00,145701563,421,60.00639283,4.875,0.000478,-0.000281,-0.00286,-4.55E-06,-8.08E-07,-3.70E-06,0,1,0,0,0
0x00,145701703,561,80.00656878,7.35,-5.00E-05,-4.70E-05,-0.001664,-9.75E-06,-4.78E-06,2.25E-07,0,1,0,0,0
0x00,145701843,701,100.0049852,9.625,0.000495,-0.000182,-0.001167,2.34E-06,9.86E-06,-3.85E-06,0,1,0,0,0
0x00,145701983,841,120.0133722,12.05,2.30E-05,-0.000559,-0.00063,3.13E-06,3.34E-06,-1.99E-06,0,1,0,0,0
0x00,145702123,981,140.0161874,14.675,-0.000478,-0.000354,-0.00063,4.23E-06,-4.65E-06,-4.35E-06,0,1,0,0,0
0x00,145702262,1120,160.0046333,17.1,-0.000906,-0.000706,-0.001865,1.18E-05,-1.17E-05,-2.14E-06,0,1,0,0,0
0x00,145702402,1260,180.0100878,19.45,0.000168,-0.001201,-0.00081,2.17E-05,-4.06E-06,-4.19E-06,0,1,0,0,0
0x00,145702542,1400,200.0014662,22.125,0.000115,-0.000572,-0.001877,1.60E-05,-1.53E-06,-1.79E-06,0,1,0,0,0
0x00,145702682,1540,220.0209966,24.575,0.001074,-0.001025,-0.0007,1.01E-05,1.32E-05,-3.79E-06,0,1,0,0,0
0x00,145702821,1679,240.0021114,27.025,0.00052,-0.000657,-0.000657,9.11E-06,2.23E-05,-5.91E-06,0,1,0,0,0
0x00,145702961,1819,260.0137241,29.5,0.000578,-0.00017,-0.001259,1.53E-05,8.73E-06,-3.82E-06,0,1,0,0,0
0x00,145703101,1959,280.0018768,32.15,0.000196,-0.000578,-0.000243,2.86E-05,-2.64E-06,-2.10E-06,0,1,0,0,0
0x00,145703241,2099,300.016422,34.5,-0.000342,-0.000506,-0.000765,1.93E-05,-2.29E-05,-4.57E-06,0,1,0,0,0
