Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,99336711,3,0.013782676,0,0,0,0,0,0,0,0,1,0,0,0
0x00,99336851,143,20.00247502,0.525,-0.000486,-0.000374,-0.001744,-2.16E-06,-8.13E-06,2.27E-06,0,1,0,0,0
0x00,99336991,283,40.01462723,2.35,-0.000385,-0.000877,-0.003036,1.42E-05,-2.17E-06,4.79E-07,0,1,0,0,0
0x00,99337131,423,60.01768874,4.825,-0.000257,-0.002,-0.002661,3.31E-05,3.40E-06,-3.80E-06,0,1,0,0,0
0x00,99337270,562,80.0028621,7.375,-0.000203,-0.002591,-0.002725,3.60E-05,2.73E-06,5.21E-07,0,1,0,0,0
0x00,99337410,702,100.0041641,9.75,0.000178,-0.001653,-0.001986,2.24E-05,8.62E-06,5.40E-07,0,1,0,0,0
0x00,99337550,842,120.0078121,12.125,-0.000985,-0.000825,-0.001745,-8.23E-06,-2.16E-05,4.12E-06,0,1,0,0,0
0x00,99337690,982,140.0055952,14.525,-0.000523,-0.000507,-0.002266,-1.26E-05,-2.04E-05,2.16E-06,0,1,0,0,0
0x00,99337829,1121,160.0145217,17.15,0.000126,-0.001187,-0.000169,1.21E-05,-1.63E-06,2.18E-06,0,1,0,0,0
0x00,99337969,1261,180.0137709,19.475,0.000122,-0.000615,-0.001306,1.57E-05,-5.26E-06,-1.96E-06,0,1,0,0,0
0x00,99338109,1401,200.011554,22,-0.000998,-0.000228,-0.001728,-4.65E-06,-2.14E-05,-1.86E-07,0,1,0,0,0
0x00,99338249,1541,220.0017126,24.65,-0.00036,-0.000585,-0.001863,9.29E-06,-3.17E-05,1.97E-06,0,1,0,0,0
0x00,99338391,1683,240.4220666,27.15,-0.000705,-0.001391,-0.00208,3.33E-05,-2.53E-05,2.05E-06,0,1,0,0,0
0x00,99338528,1820,260.0119411,29.475,-0.000695,-0.001332,-0.002096,3.69E-05,-2.00E-05,2.14E-06,0,1,0,0,0
0x00,99338668,1960,280.0020997,32.075,-0.000237,-0.002091,-0.002079,2.93E-05,-5.94E-06,2.42E-06,0,1,0,0,0
0x00,99338808,2100,300.0060409,34.575,7.50E-05,-0.000494,-0.000692,1.32E-05,8.11E-06,-1.88E-06,0,1,0,0,0
0x00,99338947,2239,320.0096889,37,0.000412,-0.000194,-0.001075,-1.06E-05,1.10E-05,-3.88E-06,0,1,0,0,0
0x00,99339087,2379,340.0139234,39.475,4.40E-05,-0.000441,-0.000662,1.03E-05,1.40E-05,-1.81E-06,0,1,0,0,0
0x00,99339227,2519,360.0034955,42.15,-0.000424,-0.000945,-0.000694,7.12E-06,-5.33E-06,-3.40E-08,0,1,0,0,0
0x00,99339367,2659,380.005384,44.525,-0.000855,-0.001399,-0.001341,1.07E-05,-2.15E-05,1.92E-06,0,1,0,0,0
0x00,99339507,2799,400.0175363,46.95,-0.000689,-0.001375,-0.001525,3.66E-05,-2.37E-05,1.98E-06,0,1,0,0,0
0x00,99339646,2938,420.0024164,49.7,-0.000607,-0.001912,-0.001646,4.94E-05,-1.94E-05,-7.00E-08,0,1,0,0,0
0x00,99339786,3078,440.0145686,51.975,0.000366,-0.00174,-0.002183,4.75E-05,-4.85E-06,4.31E-07,0,1,0,0,0
0x00,99339926,3218,460.0006217,54.5,-0.000275,-0.001485,-0.001461,2.96E-05,-3.67E-06,-1.98E-06,0,1,0,0,0
