Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,146185160,3,0.017888196,0,-4.20E-05,-6.00E-06,4.50E-05,-6.46E-06,5.62E-07,-1.50E-08,0,1,0,0,0
0x00,146185299,142,20.00193544,0.5,-0.000614,0.000729,-0.002715,-1.79E-05,-1.56E-05,1.65E-07,0,1,0,0,0
0x00,146185439,282,40.01090887,2.4,-0.001079,0.000982,-0.003331,-1.00E-05,-2.04E-05,-2.02E-06,0,1,0,0,0
0x00,146185579,422,60.00463334,4.85,-0.000942,0.000403,-0.003487,5.79E-06,-2.22E-05,2.33E-06,0,1,0,0,0
0x00,146185719,562,80.00334304,7.35,-0.001109,0.00091,-0.001548,-2.03E-05,-2.54E-05,4.02E-06,0,1,0,0,0
0x00,146185859,702,100.0211139,9.625,-0.001654,0.001254,-0.00266,-2.13E-05,-2.01E-05,2.06E-06,0,1,0,0,0
0x00,146185998,841,120.0016422,12.05,-0.001113,0.001017,-0.001576,-1.32E-05,-1.45E-05,-2.28E-06,0,1,0,0,0
0x00,146186138,981,140.0100291,14.675,-0.001662,0.00105,-0.001486,-2.92E-05,-3.82E-05,1.55E-06,0,1,0,0,0
0x00,146186278,1121,160.0151903,17.1,-0.00099,0.000277,-0.001128,-4.92E-06,-3.07E-05,1.73E-06,0,1,0,0,0
0x00,146186418,1261,180.0015835,19.45,-0.000389,0.000308,-0.00128,2.12E-05,-2.22E-06,-1.99E-06,0,1,0,0,0
0x00,146186557,1400,200.0014662,22.125,-0.000515,0.000207,-0.002281,-1.84E-06,-9.60E-06,-1.96E-06,0,1,0,0,0
0x00,146186697,1540,220.0116127,24.575,0.000455,0.000361,-0.001092,-4.04E-06,4.92E-06,-1.79E-06,0,1,0,0,0
0x00,146186837,1680,240.0100291,27.025,-0.000586,0.000886,-0.001038,-7.44E-06,4.22E-07,1.06E-07,0,1,0,0,0
0x00,146186977,1820,260.0102051,29.5,-0.000551,0.000158,-0.001664,-8.65E-06,-1.28E-05,-2.14E-06,0,1,0,0,0
0x00,146187116,1959,280.0059823,32.15,-0.000875,-0.000229,-0.00014,1.44E-05,-2.31E-05,-4.73E-07,0,1,0,0,0
0x00,146187256,2099,300.0126097,34.5,-0.001896,0.000102,-0.001238,6.64E-06,-4.79E-05,1.33E-06,0,1,0,0,0
0x00,146187396,2239,320.0095599,36.925,-0.001911,0.00017,-0.000654,7.03E-06,-4.04E-05,1.33E-06,0,1,0,0,0
0x00,146187536,2379,340.0153076,39.7,-0.002031,0.000802,-0.001074,-8.32E-06,-3.52E-05,3.62E-06,0,1,0,0,0
0x00,146187676,2519,360.0304393,41.975,-0.000441,0.000244,-0.001218,1.11E-05,-6.98E-06,-2.10E-06,0,1,0,0,0
0x00,146187815,2658,380.0083283,44.475,0.000497,0.000367,-0.001138,2.43E-06,4.36E-06,-1.77E-06,0,1,0,0,0
0x00,146187955,2798,400.0041055,47.075,-0.000134,0.001146,-0.001542,-1.54E-05,-3.71E-06,-1.94E-06,0,1,0,0,0
0x00,146188095,2938,420.0019354,49.6,-6.90E-05,0.000613,-0.001622,-8.93E-06,9.36E-07,2.47E-06,0,1,0,0,0
0x00,146188235,3078,440.0094426,52.025,-0.000596,0.000827,-0.001021,-1.10E-05,-4.90E-06,1.50E-08,0,1,0,0,0
0x00,146188374,3217,460.0154836,54.5,-0.000582,0.000211,-0.001634,-1.15E-05,-6.89E-06,-2.06E-06,0,1,0,0,0
0x00,146188514,3357,480.0071553,57.1,-0.000443,-0.000305,-0.001247,1.10E-05,-1.48E-06,-4.17E-06,0,1,0,0,0
0x00,146188654,3497,500.0038122,59.475,-0.000363,-0.000395,-0.000752,2.00E-05,-1.17E-05,-4.40E-06,0,1,0,0,0
0x00,146188794,3637,520.0145452,61.975,-0.00084,-0.00018,-0.000757,2.12E-05,-1.99E-05,-2.92E-07,0,1,0,0,0
0x00,146188933,3776,540.0126684,64.6,-0.000815,-0.000189,-0.001357,2.44E-05,-2.21E-05,-2.02E-07,0,1,0,0,0
0x00,146189073,3916,560.0110848,67.075,-0.000896,0.000348,-0.001236,1.16E-05,-2.65E-05,1.85E-06,0,1,0,0,0
0x00,146189213,4056,580.010381,69.45,-0.000938,0.000342,-0.00119,5.14E-06,-2.59E-05,1.83E-06,0,1,0,0,0
0x00,146189353,4196,600.0038122,72.1,-0.000426,0.000176,-0.001802,1.07E-05,-1.45E-05,-2.10E-06,0,1,0,0,0
0x00,146189492,4335,620.4728935,74.6,-0.000506,0.000796,-0.000542,1.54E-06,-9.76E-06,-1.22E-07,0,1,0,0,0
0x00,146189632,4475,640.0106156,77.025,-0.000563,0.001323,-0.001022,-8.09E-06,-1.63E-05,2.02E-06,0,1,0,0,0
0x00,146189772,4615,660.0116713,79.5,-0.00041,0.000191,-0.001248,1.40E-05,-1.29E-05,-2.17E-06,0,1,0,0,0
0x00,146189912,4755,680.0071553,82.125,-0.001407,0.000577,-8.10E-05,1.27E-05,-3.07E-05,-6.85E-07,0,1,0,0,0
0x00,146190051,4894,700.002346,84.475,-0.00187,0.000176,-0.0007,1.35E-05,-4.10E-05,1.34E-06,0,1,0,0,0
0x00,146190191,5034,720.0116127,86.925,-0.000731,-0.000871,-0.00032,3.30E-05,-3.05E-05,-2.67E-06,0,1,0,0,0
0x00,146190331,5174,740.0018181,89.7,-0.000773,-0.000183,-0.001403,3.09E-05,-2.27E-05,-1.88E-07,0,1,0,0,0
0x00,146190471,5314,760.0113781,91.975,-0.000929,-0.000148,-0.001236,8.66E-06,-1.51E-05,-1.55E-07,0,1,0,0,0
