Status(hex),FT Sequense,Count,Time,Distance,Fx,Fy,Fz,Tx,Ty,Tz,Material_Status,normal_state,abnormal_state1,abnormal_state2,abnormal_state3
0x00,7727462,2,0.019940893,0,0,0,0,0,0,0,0,1,0,0,0
0x00,7727596,136,20.29015172,0.525,2.00E-06,1.80E-05,-0.001726,3.06E-07,-1.60E-08,3.31E-07,0,1,0,0,0
0x00,7727742,282,40.011988,2.5,-0.000482,-0.000272,-0.002331,1.79E-06,9.34E-07,2.53E-06,0,1,0,0,0
0x00,7727882,422,60.01094403,4.9,-0.000443,-0.000285,-0.000651,7.94E-06,3.87E-07,2.21E-06,0,1,0,0,0
0x00,7728022,562,80.00315535,7.225,-0.000449,-0.000242,-0.001222,8.29E-06,4.12E-06,2.38E-06,0,1,0,0,0
0x00,7728162,702,100.0109088,9.625,3.50E-05,4.90E-05,-0.000617,6.81E-06,3.17E-06,1.81E-07,0,1,0,0,0
0x00,7728301,841,120.0019472,12.225,4.40E-05,-0.000441,-0.000662,1.03E-05,1.40E-05,-1.81E-06,0,1,0,0,0
0x00,7728441,981,140.0058884,14.6,0.000456,0.000444,4.70E-05,-3.95E-07,1.40E-05,-1.86E-06,0,1,0,0,0
0x00,7728581,1121,160.0107094,16.975,-2.20E-05,0.000111,1.30E-05,7.37E-07,1.12E-05,1.67E-07,0,1,0,0,0
0x00,7728721,1261,180.0143574,19.65,-2.30E-05,2.70E-05,-0.001126,-2.90E-06,2.14E-06,2.41E-07,0,1,0,0,0
0x00,7728861,1401,200.0106742,22.075,-0.000483,-0.000436,0.000553,-2.82E-06,-1.18E-05,1.77E-06,0,1,0,0,0
0x00,7729000,1540,220.0034721,24.525,0.000169,-0.000632,-0.000186,1.87E-05,-7.69E-06,4.27E-06,0,1,0,0,0
0x00,7729140,1680,240.0085863,27.05,-0.000455,-0.000892,-0.000664,4.26E-06,5.59E-07,4.20E-08,0,1,0,0,0
0x00,7729280,1820,260.0019706,29.65,-5.70E-05,6.20E-05,0.00063,-6.07E-06,8.04E-06,-1.40E-08,0,1,0,0,0
0x00,7729420,1960,280.0023929,32,0.000994,-0.000405,0.000559,9.31E-07,1.79E-05,-1.82E-06,0,1,0,0,0
0x00,7729560,2100,300.0124924,34.425,0.000415,0.000438,9.30E-05,-6.86E-06,1.46E-05,-1.88E-06,0,1,0,0,0
0x00,7729699,2239,320.0135012,37.2,-2.20E-05,0.000111,1.30E-05,7.37E-07,1.12E-05,1.67E-07,0,1,0,0,0
0x00,7729839,2379,340.0021935,39.475,-5.20E-05,-6.50E-05,6.20E-05,-1.01E-05,-4.76E-06,-1.06E-07,0,1,0,0,0
0x00,7729979,2519,360.0105335,41.975,-0.000489,-0.000393,-1.80E-05,-2.47E-06,-8.11E-06,1.94E-06,0,1,0,0,0
0x00,7730119,2659,380.0012786,44.575,0.000111,-0.000653,-0.000694,8.96E-06,-8.72E-06,4.33E-06,0,1,0,0,0
0x00,7730259,2799,400.0019941,47.075,-0.000472,-0.000377,0.000536,7.83E-07,-6.52E-06,1.86E-06,0,1,0,0,0
0x00,7730398,2938,420.0027096,49.525,0.000132,-0.00123,0.000402,1.18E-05,-5.36E-06,2.01E-06,0,1,0,0,0
0x00,7730538,3078,440.0037184,52.025,-0.00051,-0.000281,-5.00E-06,-1.73E-06,3.10E-06,2.11E-06,0,1,0,0,0
0x00,7730678,3218,460.0149909,54.625,-1.60E-05,6.80E-05,0.000584,3.89E-07,7.48E-06,0,0,1,0,0,0
